reaction_id,reaction_equation,loop_test,dilution_test,dead_end_test,pathway,duplicate_test,kegg_group
MAR03905,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],ok,ok,ok,0,bad,Carbohydrates
MAR03905,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],ok,ok,ok,0,bad,Lipids
MAR03905,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],ok,ok,ok,0,bad,Amino acids
MAR03905,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],ok,ok,ok,0,bad,Cofactors
MAR03905,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],ok,ok,ok,0,bad,Xenobiotics
MAR03905,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],ok,ok,ok,0,bad,Energy
MAR03907,ethanol [c] + NADP+ [c] --> acetaldehyde [c] + H+ [c] + NADPH [c],ok,ok,ok,0,bad,Carbohydrates
MAR03907,ethanol [c] + NADP+ [c] --> acetaldehyde [c] + H+ [c] + NADPH [c],ok,ok,ok,0,bad,Lipids
MAR03907,ethanol [c] + NADP+ [c] --> acetaldehyde [c] + H+ [c] + NADPH [c],ok,ok,ok,0,bad,Xenobiotics
MAR04097,acetate [c] + ATP [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + PPi [c],ok,ok,ok,0,ok,Carbohydrates
MAR04097,acetate [c] + ATP [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + PPi [c],ok,ok,ok,0,ok,Energy
MAR04099,acetate [m] + ATP [m] + CoA [m] --> acetyl-CoA [m] + AMP [m] + PPi [m],ok,ok,ok,0,ok,Carbohydrates
MAR04099,acetate [m] + ATP [m] + CoA [m] --> acetyl-CoA [m] + AMP [m] + PPi [m],ok,ok,ok,0,ok,Energy
MAR04108,acetyl adenylate [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + H+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR04108,acetyl adenylate [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + H+ [c],ok,ok,ok,0,ok,Energy
MAR04133,acetate [c] + ATP [c] + H+ [c] --> acetyl adenylate [c] + PPi [c],ok,ok,ok,0,ok,Carbohydrates
MAR04133,acetate [c] + ATP [c] + H+ [c] --> acetyl adenylate [c] + PPi [c],ok,ok,ok,0,ok,Energy
MAR04281,H+ [x] + NADH [x] + pyruvate [x] <=> L-lactate [x] + NAD+ [x],bad,ok,ok,0,ok,Carbohydrates
MAR04281,H+ [x] + NADH [x] + pyruvate [x] <=> L-lactate [x] + NAD+ [x],bad,ok,ok,0,ok,Amino acids
MAR04388,H+ [c] + NADH [c] + pyruvate [c] <=> L-lactate [c] + NAD+ [c],bad,ok,ok,0,bad,Carbohydrates
MAR04388,H+ [c] + NADH [c] + pyruvate [c] <=> L-lactate [c] + NAD+ [c],bad,ok,ok,0,bad,Amino acids
MAR04283,acetaldehyde [c] + H2O [c] + NADP+ [c] --> acetate [c] + 2.0 H+ [c] + NADPH [c],ok,ok,ok,0,bad,Carbohydrates
MAR04283,acetaldehyde [c] + H2O [c] + NADP+ [c] --> acetate [c] + 2.0 H+ [c] + NADPH [c],ok,ok,ok,0,bad,Amino acids
MAR04283,acetaldehyde [c] + H2O [c] + NADP+ [c] --> acetate [c] + 2.0 H+ [c] + NADPH [c],ok,ok,ok,0,bad,Other amino acids
MAR04283,acetaldehyde [c] + H2O [c] + NADP+ [c] --> acetate [c] + 2.0 H+ [c] + NADPH [c],ok,ok,ok,0,bad,Xenobiotics
MAR04283,acetaldehyde [c] + H2O [c] + NADP+ [c] --> acetate [c] + 2.0 H+ [c] + NADPH [c],ok,ok,ok,0,bad,Cofactors
MAR08357,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],ok,ok,ok,0,ok,Carbohydrates
MAR08357,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],ok,ok,ok,0,ok,Lipids
MAR08357,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],ok,ok,ok,0,ok,Amino acids
MAR08357,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],ok,ok,ok,0,ok,Other amino acids
MAR08357,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],ok,ok,ok,0,ok,Cofactors
MAR08357,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],ok,ok,ok,0,ok,Terpenoids
