reaction_id,category
NDPK6,Dilution
ALATA_L2,Dilution
ME1,Duplicate
ALATA_L,Loop
XYLK,Dead-End
PPM,Loop
ALATA_D2,Dilution
SHCHD2,Dead-End
A5PISO,Dilution
CPPPGO,Dilution
DHORD5,Duplicate
EX_metsox_S__L_e,Dead-End
GLYCTO2,Duplicate
VALTA,Loop
GLYCTO3,Duplicate
G3PD5,Duplicate
EX_acgam_e,Dead-End
FRD2,Duplicate
EX_cellb_e,Dead-End
EX_no3_e,Dead-End
EX_gln__L_e,Dead-End
UPP3S,Dilution
UPPDC1,Dilution
EX_man_e,Dead-End
EX_rib__D_e,Dead-End
EX_dcyt_e,Dead-End
MOAT,Dilution
EX_sbt__D_e,Dead-End
USHD,Dilution
LPADSS,Dilution
GLUTRS,Dilution
TDSK,Dilution
EX_btn_e,Dead-End
RNDR1,Multiple
RNDR3,Multiple
RNDR4,Multiple
RMI,Dead-End
NADH9,Duplicate
MDH,Duplicate
PYDXNK,Dilution
PYAM5PO,Dilution
SSALx,Duplicate
EX_dgsn_e,Dead-End
EX_fru_e,Dead-End
HEX4,Dilution
EX_xyl__D_e,Dead-End
EX_duri_e,Dead-End
ACCOAC,Dilution
ICHORS_copy2,Multiple
EX_thm_e,Dead-End
GLUTRR,Dilution
EX_din_e,Dead-End
TARTD,Dead-End
GLCRAL,Dead-End
EX_gthox_e,Dead-End
KAS14,Dilution
HEMEOS,Dead-End
PYDXPP,Dilution
PDXPP,Dilution
G1SAT,Dilution
KDOCT2,Dilution
EDTXS1,Dilution
MNNH,Dead-End
EDTXS2,Dilution
ALTRH,Dead-End
GUI1,Dead-End
EDTXS3,Dead-End
DDGLK,Dead-End
EDTXS4,Dead-End
PMANM,Dilution
EX_tmao_e,Dead-End
UAG2E,Dilution
MACPD,Dilution
XYLI1,Dead-End
ICHORS_copy1,Multiple
EX_sucr_e,Dead-End
ALDD4,Dead-End
CINNDO,Dead-End
DHPPD,Dead-End
EX_tre_e,Dead-End
DHCIND,Dead-End
GOFUCR,Dead-End
PYDXK,Dilution
SADT2,Dilution
AACPS1,Dilution
DHORD2,Duplicate
LCARS,Duplicate
RMPA,Dead-End
SBTPD,Dead-End
PFK_2,Dead-End
GLTPD,Dead-End
EX_hdcea_e,Dead-End
ACACCT,Dead-End
BUTCT,Dead-End
TGBPA,Dead-End
MANAO,Dead-End
TAGURr,Dead-End
DMSOR1,Dead-End
2DGULRx,Multiple
DKGLCNR2y,Multiple
G1PTT,Dilution
TDPGDH,Dilution
2DGULRy,Multiple
UDPGALM,Dead-End
TDPDRE,Dilution
TDPDRR,Dilution
RZ5PP,Dead-End
DDPGALA,Dead-End
G3PD6,Duplicate
GMHEPPA,Dilution
S7PI,Dilution
EX_ttdcea_e,Dead-End
AGMHE,Dilution
CRNBTCT,Dead-End
GMHEPAT,Dilution
IDOND,Duplicate
IDOND2,Duplicate
GLYCLTDx,Duplicate
HPYRRy,Duplicate
FCLT,Dilution
KDOPS,Dilution
KDOPP,Dilution
EX_26dap__M_e,Dead-End
MCOATA,Dilution
CYNTAH,Dead-End
EX_acnam_e,Dead-End
EX_amp_e,Dead-End
TMAOR1,Dead-End
TMAOR2,Dead-End
NDPK1,Loop
TRDR,Dilution
FRUK,Dead-End
KG6PDC,Dead-End
TDPADGAT,Dilution
X5PL3E,Dead-End
DOGULNR,Dead-End
EX_fuc__L_e,Dead-End
EX_met__D_e,Dead-End
EX_tartr__L_e,Dead-End
BETALDHx,Duplicate
BETALDHy,Duplicate
MLTG3,Dilution
EX_taur_e,Dead-End
EX_maltpt_e,Dead-End
EX_glcur_e,Dead-End
DKGLCNR1,Dead-End
AACPS2,Dilution
ACPS1,Dead-End
EX_nmn_e,Dead-End
M1PD,Dead-End
G3PD2,Duplicate
FCI,Dead-End
FCLK,Dead-End
FCLPA,Dead-End
AACPS3,Dilution
U23GAAT,Dilution
EX_f6p_e,Dead-End
AACPS4,Dilution
OP4ENH,Dead-End
EX_rmn_e,Dead-End
HOPNTAL,Dead-End
P5CR,Duplicate
CYANST,Dead-End
EX_ttdca_e,Dead-End
3HPPPNH,Dead-End
GMAND,Dead-End
PPCSCT,Loop
HPYRRx,Multiple
DBTS,Dead-End
UHGADA,Dilution
AMANK,Dead-End
UAGAAT,Dilution
PRPPS,Loop
H2SO,Dilution
EX_g6p_e,Dead-End
BPNT,Dilution
EX_2ddglcn_e,Dead-End
PAPSR,Multiple
EX_mmet_e,Dead-End
NTRIR2x,Dead-End
GPDDA1,Dead-End
ASCBPL,Dead-End
ACBIPGT,Dead-End
ADOCBLS,Dead-End
EX_galct__D_e,Dead-End
ADOCBIK,Dead-End
HPPPNDO,Dead-End
MDH3,Duplicate
DHCINDO,Dead-End
HKNDDH,Dead-End
HKNTDH,Dead-End
PTA2,Loop
MDH2,Duplicate
GPDDA5,Dead-End
PPBNGS,Dilution
SULR,Dilution
MANPGH,Dead-End
AMANAPEr,Dead-End
EX_3hcinnm_e,Dead-End
EX_acac_e,Dead-End
MAN1PT2,Dilution
EX_acmana_e,Dead-End
MI1PP,Dead-End
