source,target
MALTPTabcpp,MALTPTtexi
MALTPTabcpp,MLTG3
MALTPTabcpp,MLTP1
MALTPTabcpp,MLTP2
MALTPTabcpp,MLTG4
23DOGULNt4pp,DOGULNR
TSULabcpp,CYANST
TSULabcpp,TSULtex
TSULabcpp,CYANSTpp
RHAT1,TDPDRR
RHAT1,GLCTR1
RHAT1,MOAT3C
CBLAT,ADOCBLabcpp
CBLAT,CBL1abcpp
CBLAT,BIOMASS_Ec_iML1515_WT_75p37M
CBLAT,ADOCBLS
MOBDtex,EX_mobd_e
MOBDtex,MOBDabcpp
3HAD140,U23GAAT
3HAD140,EAR140y
3HAD140,EAR140x
3HAD140,3OAR140
3HAD140,UAGAAT
ACPPAT120,AACPS2
ACPPAT120,G3PAT120
ACPPAT120,AGPAT181
ACPPAT120,G3PAT141
ACPPAT120,3OAS140
ACPPAT120,AACPS8
ACPPAT120,G3PAT160
ACPPAT120,AACPS6
ACPPAT120,ACPPAT181
ACPPAT120,AGPAT140
ACPPAT120,AACPS3
ACPPAT120,EDTXS2
ACPPAT120,FA161ACPHi
ACPPAT120,G3PAT161
ACPPAT120,3OAS80
ACPPAT120,3OAS100
ACPPAT120,FA80ACPHi
ACPPAT120,U23GAAT
ACPPAT120,ACPPAT141
ACPPAT120,ACPPAT161
ACPPAT120,MCOATA
ACPPAT120,3OAS141
ACPPAT120,LIPOCT
ACPPAT120,ACOATA
ACPPAT120,AACPS1
ACPPAT120,G3PAT180
ACPPAT120,APG3PAT120
ACPPAT120,FA140ACPHi
ACPPAT120,EDTXS4
ACPPAT120,3OAS121
ACPPAT120,AGPAT160
ACPPAT120,AACPS7
ACPPAT120,EDTXS3
ACPPAT120,AGPAT161
ACPPAT120,EDTXS1
ACPPAT120,EAR120x
ACPPAT120,3OAS60
ACPPAT120,G3PAT140
ACPPAT120,3OAS180
ACPPAT120,UAGAAT
ACPPAT120,AACPS5
ACPPAT120,APH120
ACPPAT120,ACPS1
ACPPAT120,KAS14
ACPPAT120,OPMEACPS
ACPPAT120,FA120ACPHi
ACPPAT120,EAR120y
ACPPAT120,FA100ACPHi
ACPPAT120,AOXSr2
ACPPAT120,3OAS160
ACPPAT120,FA160ACPHi
ACPPAT120,AGPAT120
ACPPAT120,G3PAT181
ACPPAT120,3OAS181
ACPPAT120,AACPS9
ACPPAT120,AGPAT180
ACPPAT120,ACPPAT160
ACPPAT120,3OAS120
ACPPAT120,AACPS4
ACPPAT120,ACPPAT140
ACPPAT120,AGPAT141
ACPPAT120,FA141ACPHi
ACPPAT120,3OAS161
ACPPAT120,ACPPAT180
42A12BOOXpp,DOPAtex
42A12BOOXpp,PEAMNOpp
42A12BOOXpp,H2O2tex
42A12BOOXpp,SPODMpp
42A12BOOXpp,TYROXDApp
42A12BOOXpp,34dhpactex
RNDR2,RNDR4
RNDR2,RNDR3
RNDR2,PAPSR
RNDR2,THIORDXi
RNDR2,METSOXR2
RNDR2,RNDR1
RNDR2,TRDR
RNDR2,METSOXR1
RNDR2,DSBDR
N2Otpp,N2Otex
N2Otpp,FESD2s
N2Otpp,NHFRBO
CU2abcpp,BIOMASS_Ec_iML1515_WT_75p37M
CU2abcpp,CU2tpp
CU2abcpp,BIOMASS_Ec_iML1515_core_75p37M
CU2abcpp,MPTS
CU2abcpp,BWCOS
CU2abcpp,WCOS
CU2abcpp,CU1Opp
CU2abcpp,MOCOS
CU2abcpp,BMOCOS
TGBPA,PFK_2
EX_ala_B_e,BALAtex
EX_sel_e,SELtex
3OAR40,KAS15
3OAR40,KAS14
3OAR40,3HAD40
CU1Opp,CU2tpp
CU1Opp,CUtex
CU1Opp,CU1abcpp
CU1Opp,CUt2pp
O16GALFT,O16GLCT1
O16GALFT,O16GLCT2
O16GALFT,UDPGALM
CPPPGO2,PPPGO3
CPPPGO2,PPPGO
CPPPGO2,UPPDC1
CPPPGO2,CPPPGO
H2O2tex,PEAMNOpp
H2O2tex,EX_h2o2_e
H2O2tex,SPODMpp
H2O2tex,TYROXDApp
EX_galctn__L_e,GALCTNLtex
EX_mepn_e,MEPNtex
METGLCURt2pp,METGLCUR
METGLCURt2pp,METGLCURtex
EX_maltttr_e,MALTTTRtexi
ACOATA,AACPS2
ACOATA,G3PAT120
ACOATA,AGPAT181
ACOATA,G3PAT141
ACOATA,3OAS140
ACOATA,AACPS8
ACOATA,G3PAT160
ACOATA,AACPS6
ACOATA,ACPPAT181
ACOATA,AGPAT140
ACOATA,AACPS3
ACOATA,EDTXS2
ACOATA,FA161ACPHi
ACOATA,G3PAT161
ACOATA,3OAS80
ACOATA,3OAS100
ACOATA,FA80ACPHi
ACOATA,U23GAAT
ACOATA,ACPPAT141
ACOATA,ACPPAT161
ACOATA,MCOATA
ACOATA,3OAS141
ACOATA,LIPOCT
ACOATA,AACPS1
ACOATA,G3PAT180
ACOATA,FA140ACPHi
ACOATA,EDTXS4
ACOATA,3OAS121
ACOATA,AGPAT160
ACOATA,AACPS7
ACOATA,EDTXS3
ACOATA,AGPAT161
ACOATA,EDTXS1
ACOATA,3OAS60
ACOATA,G3PAT140
ACOATA,3OAS180
ACOATA,UAGAAT
ACOATA,AACPS5
ACOATA,ACPS1
ACOATA,KAS14
ACOATA,OPMEACPS
ACOATA,MACPD
ACOATA,FA120ACPHi
ACOATA,FA100ACPHi
ACOATA,AOXSr2
ACOATA,3OAS160
ACOATA,FA160ACPHi
ACOATA,AGPAT120
ACOATA,G3PAT181
ACOATA,3OAS181
ACOATA,AGPAT180
ACOATA,ACPPAT160
ACOATA,3OAS120
ACOATA,AACPS9
ACOATA,AACPS4
ACOATA,ACPPAT140
ACOATA,AGPAT141
ACOATA,FA141ACPHi
ACOATA,3OAS161
ACOATA,ACPPAT180
3OAS180,AACPS2
3OAS180,G3PAT120
3OAS180,EAR160x
3OAS180,AGPAT181
3OAS180,G3PAT141
3OAS180,3OAS140
3OAS180,AACPS8
3OAS180,G3PAT160
3OAS180,AACPS6
3OAS180,ACPPAT181
3OAS180,AGPAT140
3OAS180,AACPS3
3OAS180,EDTXS2
3OAS180,FA161ACPHi
3OAS180,G3PAT161
3OAS180,3OAS80
3OAS180,3OAR180
3OAS180,3OAS100
3OAS180,FA80ACPHi
3OAS180,U23GAAT
3OAS180,ACPPAT141
3OAS180,KAS15
3OAS180,ACPPAT161
3OAS180,MCOATA
3OAS180,3OAS141
3OAS180,LIPOCT
3OAS180,AACPS1
3OAS180,G3PAT180
3OAS180,FA140ACPHi
3OAS180,EDTXS4
3OAS180,3OAS121
3OAS180,AGPAT160
3OAS180,AACPS7
3OAS180,EDTXS3
3OAS180,AGPAT161
3OAS180,EDTXS1
3OAS180,3OAS60
3OAS180,G3PAT140
3OAS180,OGMEACPS
3OAS180,UAGAAT
3OAS180,AACPS5
3OAS180,ACPS1
3OAS180,KAS14
3OAS180,OPMEACPS
3OAS180,MACPD
3OAS180,EAR160y
3OAS180,FA120ACPHi
3OAS180,FA100ACPHi
3OAS180,AOXSr2
3OAS180,3OAS160
3OAS180,FA160ACPHi
3OAS180,AGPAT120
3OAS180,G3PAT181
3OAS180,3OAS181
3OAS180,AGPAT180
3OAS180,ACPPAT160
3OAS180,3OAS120
3OAS180,AACPS9
3OAS180,AACPS4
3OAS180,ACPPAT140
3OAS180,AGPAT141
3OAS180,FA141ACPHi
3OAS180,3OAS161
3OAS180,ACPPAT180
BSORy,BIOMASS_Ec_iML1515_core_75p37M
BSORy,BIOMASS_Ec_iML1515_WT_75p37M
BSORy,BTNt2ipp
BSORy,BTS5
BSORy,BSORx
ALPATG160pp,ALPATE160pp
GALCTNLt2pp,GALCTNLtex
GALCTNLt2pp,GALCTLO
ECAP3pp,O16AP2pp
ECAP3pp,UDCPDPpp
ECAP3pp,COLIPAKpp
ECAP3pp,ECAP1pp
ECAP3pp,ECAP2pp
ECAP3pp,ECA4OALpp
ECAP3pp,O16AP3pp
ECAP3pp,O16A4Lpp
ECAP3pp,O16AP1pp
ECAP3pp,ECAtpp
UDPGtex,UDPGPpp
UDPGtex,EX_udpg_e
3OAS60,AACPS2
3OAS60,G3PAT120
3OAS60,AGPAT181
3OAS60,G3PAT141
3OAS60,3OAS140
3OAS60,AACPS8
3OAS60,G3PAT160
3OAS60,AACPS6
3OAS60,ACPPAT181
3OAS60,AGPAT140
3OAS60,AACPS3
3OAS60,EDTXS2
3OAS60,FA161ACPHi
3OAS60,G3PAT161
3OAS60,3OAS80
3OAS60,3OAS100
3OAS60,FA80ACPHi
3OAS60,U23GAAT
3OAS60,ACPPAT141
3OAS60,KAS15
3OAS60,ACPPAT161
3OAS60,EAR40x
3OAS60,MCOATA
3OAS60,3OAS141
3OAS60,LIPOCT
3OAS60,AACPS1
3OAS60,G3PAT180
3OAS60,FA140ACPHi
3OAS60,EDTXS4
3OAS60,3OAS121
3OAS60,AGPAT160
3OAS60,AACPS7
3OAS60,EDTXS3
3OAS60,AGPAT161
3OAS60,EDTXS1
3OAS60,G3PAT140
3OAS60,OGMEACPS
3OAS60,UAGAAT
3OAS60,AACPS5
3OAS60,EAR40y
3OAS60,ACPS1
3OAS60,KAS14
3OAS60,OPMEACPS
3OAS60,MACPD
3OAS60,3OAR60
3OAS60,FA120ACPHi
3OAS60,FA100ACPHi
3OAS60,AOXSr2
3OAS60,3OAS160
3OAS60,FA160ACPHi
3OAS60,AGPAT120
3OAS60,G3PAT181
3OAS60,3OAS181
3OAS60,AGPAT180
3OAS60,ACPPAT160
3OAS60,3OAS120
3OAS60,AACPS9
3OAS60,AACPS4
3OAS60,ACPPAT140
3OAS60,AGPAT141
3OAS60,FA141ACPHi
3OAS60,3OAS161
3OAS60,ACPPAT180
ALTRH,DDGLK
ALTRH,TAGURr
ALTRH,MNNH
ALTRH,DDGLCNt2rpp
ZN2tpp,BIOMASS_Ec_iML1515_WT_75p37M
ZN2tpp,BIOMASS_Ec_iML1515_core_75p37M
ZN2tpp,ZNabcpp
ZN2tpp,ZN2abcpp
ZN2tpp,ZN2t3pp
CYANST,PAPSR2
CYANST,FDMO3
CYANST,SULR
CYANST,FDMO2
CYANST,PAPSR
CYANST,FDMO6
CYANST,MCPST
CYANST,FDMO
CYANST,TAUDO
CYANST,FDMO4
NOtex,NOtpp
NOtex,EX_no_e
ZNabcpp,BIOMASS_Ec_iML1515_WT_75p37M
ZNabcpp,BIOMASS_Ec_iML1515_core_75p37M
ZNabcpp,ZN2abcpp
ZNabcpp,ZN2t3pp
PDX5PO2,PYDXK
PDX5PO2,PYDXPP
PDX5PO2,BIOMASS_Ec_iML1515_WT_75p37M
PDX5PO2,BIOMASS_Ec_iML1515_core_75p37M
PDX5PO2,PDX5POi
