model_version,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
1.0,15185,5566,1768,1405,930,2619,31
1.3,14770,6155,1976,1879,923,2596,31
1.4,13096,5461,1238,1913,923,2596,31
1.5,13096,5400,1238,1849,923,2596,31
1.7,13082,5380,1207,1861,923,2594,31
1.9,13081,5380,1207,1862,924,2594,31
1.11,13069,5373,1208,1860,916,2586,31
1.12,13070,5445,1207,1938,914,2586,31
1.13,13026,5308,1222,1844,827,2499,31
1.14,13024,5298,1220,1836,827,2499,31
1.15,13073,5113,1276,1583,847,2504,34
1.16,13085,4999,1325,1588,822,2333,34
1.17,12969,4905,1329,1557,713,2227,34
1.18,12995,4944,1312,1564,706,2275,34
1.19,12971,4884,1319,1494,702,2272,34
