reaction_id,gene_id
MAR03905,124
MAR03905,128
MAR03905,127
MAR03905,125
MAR03905,284273
MAR03905,137872
MAR03905,130
MAR03905,131
MAR03905,126
MAR03907,10327
MAR04097,55902
MAR04099,79611
MAR04099,84532
MAR04108,55902
MAR04133,55902
MAR04281,3945
MAR04281,3939
MAR04388,160287
MAR04388,3948
MAR04388,3939
MAR04388,92483
MAR04388,3945
MAR04283,221
MAR04283,220
MAR04283,222
MAR04283,218
MAR08357,217
MAR08357,501
MAR08357,224
MAR08357,223
MAR08357,219
MAR04379,5214
MAR04379,5213
MAR04379,5211
MAR04301,5214
MAR04301,5213
MAR04301,5211
MAR04355,230
MAR04355,229
MAR04358,5315
MAR04358,5313
MAR04360,284273
MAR04363,2023
MAR04363,2027
MAR04363,2026
MAR04365,441531
MAR04365,669
MAR04365,5224
MAR04365,5223
MAR04368,5230
MAR04368,10321
MAR04368,5232
MAR04370,98
MAR04370,97
MAR04371,441531
MAR04371,669
MAR04371,5224
MAR04371,5223
MAR04372,669
MAR04373,26330
MAR04373,2597
MAR04375,230
MAR04375,229
MAR04375,226
MAR04377,2203
MAR04377,8789
MAR04381,2821
MAR04391,7167
MAR04394,3099
MAR04394,2645
MAR04394,80201
MAR04394,3101
MAR04394,3098
MAR04396,55276
MAR04396,5236
MAR04521,2538
MAR04521,57818
MAR04521,92579
MAR06412,8050
MAR06412,1737
MAR07745,130589
MAR07747,83440
MAR08360,847
MAR08652,2538
MAR08652,57818
MAR08652,92579
MAR08757,1571
MAR03989,8972
MAR03989,825
MAR03989,2548
MAR03989,2595
MAR04122,7358
MAR04837,80162
MAR04837,11181
MAR05395,8908
MAR05395,2992
MAR05396,2998
MAR05396,8908
MAR05396,2992
MAR05396,2997
MAR09727,5507
MAR09727,2998
MAR09727,2997
MAR09727,79660
MAR05397,2632
MAR05398,5834
MAR05398,5837
MAR05398,5836
MAR05399,178
MAR05400,178
MAR05401,5834
MAR05401,5837
MAR05401,5836
MAR08568,277
MAR08568,279
MAR08568,276
MAR08568,84569
MAR08568,278
MAR08568,280
MAR08569,277
MAR08569,279
MAR08569,276
MAR08569,84569
MAR08569,278
MAR08569,280
MAR08570,277
MAR08570,279
MAR08570,276
MAR08570,84569
MAR08570,278
MAR08570,280
MAR08571,277
MAR08571,279
MAR08571,276
MAR08571,84569
MAR08571,278
MAR08571,280
MAR08572,277
MAR08572,279
MAR08572,276
MAR08572,84569
MAR08572,278
MAR08572,280
MAR08573,277
MAR08573,279
MAR08573,276
MAR08573,84569
MAR08573,278
MAR08573,280
MAR08574,277
MAR08574,279
MAR08574,276
MAR08574,84569
MAR08574,278
MAR08574,280
MAR08575,277
MAR08575,279
MAR08575,276
MAR08575,84569
MAR08575,278
MAR08575,280
MAR08576,277
MAR08576,279
MAR08576,276
MAR08576,84569
MAR08576,278
MAR08576,280
MAR08577,277
MAR08577,279
MAR08577,276
MAR08577,84569
MAR08577,278
MAR08577,280
MAR08578,277
MAR08578,279
MAR08578,276
MAR08578,84569
MAR08578,278
MAR08578,280
MAR08579,277
MAR08579,279
MAR08579,276
MAR08579,84569
MAR08579,278
MAR08579,280
MAR08581,277
MAR08581,279
MAR08581,276
MAR08581,84569
MAR08581,278
MAR08581,280
MAR08591,8972
MAR08591,2595
MAR08592,2548
