reaction_id,reaction_equation,dil_test_in_v12
MAR03905,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],ok
MAR03907,ethanol [c] + NADP+ [c] --> acetaldehyde [c] + H+ [c] + NADPH [c],ok
MAR04097,acetate [c] + ATP [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + PPi [c],ok
MAR04099,acetate [m] + ATP [m] + CoA [m] --> acetyl-CoA [m] + AMP [m] + PPi [m],ok
MAR04108,acetyl adenylate [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + H+ [c],ok
MAR04133,acetate [c] + ATP [c] + H+ [c] --> acetyl adenylate [c] + PPi [c],ok
MAR04137,CoA [m] + NAD+ [m] + pyruvate [m] --> acetyl-CoA [m] + CO2 [m] + NADH [m],ok
MAR04281,H+ [x] + NADH [x] + pyruvate [x] <=> L-lactate [x] + NAD+ [x],ok
MAR04388,H+ [c] + NADH [c] + pyruvate [c] <=> L-lactate [c] + NAD+ [c],ok
MAR04283,acetaldehyde [c] + H2O [c] + NADP+ [c] --> acetate [c] + 2.0 H+ [c] + NADPH [c],ok
MAR08357,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],ok
MAR04379,"ATP [c] + fructose-6-phosphate [c] --> ADP [c] + fructose-1,6-bisphosphate [c] + H+ [c]",ok
MAR04301,"fructose-6-phosphate [c] + UTP [c] --> fructose-1,6-bisphosphate [c] + H+ [c] + UDP [c]",ok
MAR04355,"DHAP [c] + erythrose-4-phosphate [c] --> sedoheptulose-1,7-bisphosphate [c]",ok
MAR04358,ADP [c] + H+ [c] + PEP [c] --> ATP [c] + pyruvate [c],ok
MAR04360,H2O [c] + methylglyoxal [c] + NADP+ [c] --> 2.0 H+ [c] + NADPH [c] + pyruvate [c],ok
MAR04363,2-phospho-D-glycerate [c] <=> H2O [c] + PEP [c],ok
MAR04365,2-phospho-D-glycerate [c] <=> 3-phospho-D-glycerate [c],ok
MAR04368,"1,3-bisphospho-D-glycerate [c] + ADP [c] <=> 3-phospho-D-glycerate [c] + ATP [c]",ok
MAR04370,"1,3-bisphospho-D-glycerate [c] + H2O [c] --> 3-phospho-D-glycerate [c] + H+ [c] + Pi [c]",ok
MAR04371,"1,3-bisphospho-D-glycerate [c] --> 2,3-bisphospho-D-glycerate [c] + H+ [c]",ok
MAR04372,"2,3-bisphospho-D-glycerate [c] + H2O [c] --> 3-phospho-D-glycerate [c] + Pi [c]",ok
MAR04373,"1,3-bisphospho-D-glycerate [c] + H+ [c] + NADH [c] <=> GAP [c] + NAD+ [c] + Pi [c]",ok
MAR04375,"DHAP [c] + GAP [c] <=> fructose-1,6-bisphosphate [c]",ok
MAR04377,"fructose-1,6-bisphosphate [c] + H2O [c] --> fructose-6-phosphate [c] + Pi [c]",ok
MAR04381,fructose-6-phosphate [c] <=> glucose-6-phosphate [c],ok
MAR04391,DHAP [c] <=> GAP [c],ok
MAR04394,ATP [c] + glucose [c] --> ADP [c] + glucose-6-phosphate [c] + H+ [c],ok
MAR04396,glucose-1-phosphate [c] <=> glucose-6-phosphate [c],ok
MAR04521,glucose-6-phosphate [r] + H2O [r] --> glucose [r] + Pi [r],ok
MAR06410,H+ [m] + lipoamide [m] + pyruvate [m] --> CO2 [m] + S-acetyldihydrolipoamide [m],ok
MAR06412,CoA [m] + S-acetyldihydrolipoamide [m] --> acetyl-CoA [m] + dihydrolipoamide [m],ok
MAR07745,beta-D-glucose [c] <=> glucose [c],always blocked
MAR07747,ADP [c] + glucose [c] --> AMP [c] + glucose-6-phosphate [c] + H+ [c],ok
MAR08360,ethanol [x] + H2O2 [x] --> acetaldehyde [x] + 2.0 H2O [x],ok
MAR08652,carbamoyl-phosphate [r] + glucose [r] --> CO2 [r] + glucose-6-phosphate [r] + NH3 [r],always blocked
MAR08757,ethanol [c] + H+ [c] + NADPH [c] + O2 [c] --> acetaldehyde [c] + 2.0 H2O [c] + NADP+ [c],ok
MAR03989,H2O [e] + maltose [e] --> 2.0 glucose [e],ok
MAR04122,H2O [c] + 2.0 NAD+ [c] + UDP-glucose [c] --> 3.0 H+ [c] + 2.0 NADH [c] + UDP-glucuronate [c],ok
MAR04837,H2O [e] + trehalose [e] --> 2.0 glucose [e],ok
MAR05395,glycogenin [c] + 8.0 UDP-glucose [c] --> glycogenin G8 [c] + 8.0 H+ [c] + 8.0 UDP [c],ok
MAR05396,glycogenin G8 [c] + 3.0 UDP-glucose [c] --> glycogenin G11 [c] + 3.0 H+ [c] + 3.0 UDP [c],ok
MAR09727,UDP-glucose [c] --> H+ [c] + UDP [c] + glycogen [c],ok
MAR05397,glycogenin G11 [c] --> glycogenin G4G7 [c],ok
MAR05398,glycogenin G4G7 [c] + 3.0 Pi [c] --> 3.0 glucose-1-phosphate [c] + glycogenin G4G4 [c],ok
MAR05399,glycogenin G4G4 [c] --> glycogenin G7G1 [c],ok
MAR05400,glycogenin G7G1 [c] + H2O [c] --> glucose [c] + glycogenin G7 [c],ok
MAR05401,glycogenin G7 [c] + 7.0 Pi [c] --> 7.0 glucose-1-phosphate [c] + glycogenin [c],ok
MAR08568,H2O [c] + maltodecaose [c] --> fructose [c] + maltononaose [c],ok
MAR08569,H2O [e] + maltodecaose [e] --> glucose [e] + maltononaose [e],ok
MAR08570,2.0 H2O [c] + maltononaose [c] --> 2.0 fructose [c] + maltoheptaose [c],ok
MAR08571,2.0 H2O [e] + maltononaose [e] --> 2.0 glucose [e] + maltoheptaose [e],ok
MAR08572,H2O [c] + maltoheptaose [c] --> fructose [c] + maltohexaose [c],ok
MAR08573,H2O [e] + maltoheptaose [e] --> glucose [e] + maltohexaose [e],ok
MAR08574,H2O [c] + maltohexaose [c] --> fructose [c] + maltopentaose [c],ok
MAR08575,H2O [e] + maltohexaose [e] --> glucose [e] + maltopentaose [e],ok
MAR08576,H2O [c] + maltopentaose [c] --> fructose [c] + maltotetraose [c],ok
MAR08577,H2O [e] + maltopentaose [e] --> glucose [e] + maltotetraose [e],ok
MAR08578,H2O [c] + maltotetraose [c] --> fructose [c] + maltotriose [c],ok
MAR08579,H2O [e] + maltotetraose [e] --> glucose [e] + maltotriose [e],ok
MAR08581,H2O [e] + maltotriose [e] --> glucose [e] + maltose [e],ok
MAR08591,H2O [c] + maltotriose [c] --> glucose [c] + maltose [c],ok
MAR08592,H2O [l] + maltotriose [l] --> glucose [l] + maltose [l],ok
MAR08580,H2O [c] + maltotriose [c] --> fructose [c] + maltose [c],ok
MAR08582,H2O [c] + maltose [c] --> 2.0 fructose [c],ok
MAR08587,H2O [c] + maltose [c] --> 2.0 glucose [c],ok
MAR08589,H2O [l] + maltose [l] --> 2.0 glucose [l],ok
MAR08583,8.0 H2O [e] + starch structure 1 [e] --> 8.0 glucose [e] + starch structure 2 [e],ok
MAR08584,H2O [e] + starch structure 2 [e] --> glucose [e] + maltose [e],ok
MAR08585,"1,3-bisphospho-D-glycerate [c] + glucose-1-phosphate [c] --> 3-phospho-D-glycerate [c] + glucose-1,6-bisphosphate [c]",ok
MAR03944,glucose-1-phosphate [c] + H+ [c] + UTP [c] --> PPi [c] + UDP-glucose [c],ok
MAR04128,UDP-galactose [c] <=> UDP-glucose [c],ok
MAR04130,ATP [c] + galactose [c] --> ADP [c] + alpha-D-galactose-1-phosphate [c] + H+ [c],ok
MAR04131,glucose-1-phosphate [c] + UDP-galactose [c] <=> alpha-D-galactose-1-phosphate [c] + UDP-glucose [c],ok
MAR04132,galactose-1-phosphate [c] + UDP-glucose [c] --> glucose-1-phosphate [c] + UDP-galactose [c],ok
MAR04303,H2O [e] + sucrose [e] --> fructose [e] + glucose [e],ok
MAR04414,ATP [c] + galactose [c] --> ADP [c] + galactose-1-phosphate [c] + H+ [c],ok
MAR04415,H2O [e] + lactose [e] --> galactose [e] + glucose [e],ok
MAR04416,galactosylglycerol [e] + H2O [e] --> galactose [e] + glycerol [e],ok
MAR04774,"CDP [c] + H+ [c] + tagatose-1,6-bisphosphate [c] <=> CTP [c] + D-tagatose-6-phosphate [c]",MAM02955c
