reaction ID,flagged by,problems found,changes made,Human-GEM GitHub pull request number
MAR00156,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00165,none,wrong reversibility,made irreversible,527
MAR00168,none,wrong reversibility,made irreversible,527
MAR00171,none,wrong reversibility,made irreversible,527
MAR00174,none,wrong reversibility,made irreversible,527
MAR00177,none,wrong reversibility,made irreversible,527
MAR00180,none,wrong reversibility,made irreversible,527
MAR00184,none,wrong reversibility,made irreversible,527
MAR00188,none,wrong reversibility,made irreversible,527
MAR00192,none,wrong reversibility,made irreversible,527
MAR00196,none,wrong reversibility,made irreversible,527
MAR00200,none,wrong reversibility,made irreversible,527
MAR00204,none,wrong reversibility,made irreversible,527
MAR00209,none,wrong reversibility,made irreversible,527
MAR00213,none,wrong reversibility,made irreversible,527
MAR00217,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00226,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00233,none,wrong reversibility,made irreversible,527
MAR00237,none,wrong reversibility,made irreversible,527
MAR00241,none,wrong reversibility,made irreversible,527
MAR00245,none,wrong reversibility,made irreversible,527
MAR00249,none,wrong reversibility,made irreversible,527
MAR00255,none,wrong reversibility,made irreversible,527
MAR00259,none,wrong reversibility,made irreversible,527
MAR00267,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00271,none,wrong reversibility,made irreversible,527
MAR00275,none,wrong reversibility,made irreversible,527
MAR00279,none,wrong reversibility,made irreversible,527
MAR00283,none,wrong reversibility,made irreversible,527
MAR00289,none,wrong reversibility,made irreversible,527
MAR00293,none,wrong reversibility,made irreversible,527
MAR00297,none,wrong reversibility,made irreversible,527
MAR00301,none,wrong reversibility,made irreversible,527
MAR00305,none,wrong reversibility,made irreversible,527
MAR00309,none,wrong reversibility,made irreversible,527
MAR00313,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00319,none,wrong reversibility,made irreversible,527
MAR00323,none,wrong reversibility,made irreversible,527
MAR00327,none,wrong reversibility,made irreversible,527
MAR00331,none,wrong reversibility,made irreversible,527
MAR00337,none,wrong reversibility,made irreversible,527
MAR00341,none,wrong reversibility,made irreversible,527
MAR00345,none,wrong reversibility,made irreversible,527
MAR00349,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00353,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00357,none,wrong reversibility,made irreversible,527
MAR00361,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00365,none,wrong reversibility,made irreversible,527
MAR00369,none,wrong reversibility,made irreversible,527
MAR00373,none,wrong reversibility,made irreversible,527
MAR00377,none,wrong reversibility,made irreversible,527
MAR00381,none,wrong reversibility,made irreversible,527
MAR00385,none,wrong reversibility,made irreversible,527
MAR00389,none,wrong reversibility,made irreversible,527
MAR00393,none,wrong reversibility,made irreversible,527
MAR00397,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00401,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00405,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00409,loop,"wrong reversibility, ATP loop",made irreversible,527
MAR00413,none,wrong reversibility,made irreversible,527
MAR00417,none,wrong reversibility,made irreversible,527
MAR00421,none,wrong reversibility,made irreversible,527
