reaction_id,category
MAR03905,Duplicate
MAR03907,Duplicate
MAR04281,Loop
MAR04388,Multiple
MAR04283,Duplicate
MAR04521,Duplicate
MAR07745,Dead-End
MAR08652,Dead-End
MAR04774,Multiple
MAR04775,Multiple
MAR04310,Dead-End
MAR04316,Multiple
MAR04356,Dead-End
MAR04400,Duplicate
MAR08768,Duplicate
MAR04590,Multiple
MAR04591,Multiple
MAR08344,Loop
MAR06537,Loop
MAR01568,Duplicate
MAR03855,Multiple
MAR03859,Multiple
MAR04087,Duplicate
MAR04091,Duplicate
MAR08501,Duplicate
MAR08507,Multiple
MAR08508,Multiple
MAR08509,Multiple
MAR08512,Duplicate
MAR08514,Multiple
MAR04280,Loop
MAR03212,Duplicate
MAR03797,Multiple
MAR04460,Multiple
MAR00718,Multiple
MAR00719,Multiple
MAR03163,Duplicate
MAR04304,Multiple
MAR04351,Loop
MAR04352,Loop
MAR04477,Multiple
MAR09799,Dead-End
MAR09800,Dead-End
MAR04625,Duplicate
MAR08653,Multiple
MAR04002,Loop
MAR04004,Loop
MAR04012,Loop
MAR04020,Loop
MAR04085,Multiple
MAR04135,Loop
MAR04171,Loop
MAR04418,Multiple
MAR04451,Loop
MAR04452,Multiple
MAR04480,Loop
MAR04486,Dilution
MAR04488,Dilution
MAR04492,Dilution
MAR04495,Dilution
MAR04519,Duplicate
MAR04520,Duplicate
MAR04574,Loop
MAR04611,Loop
MAR04615,Loop
MAR04646,Duplicate
MAR04648,Duplicate
MAR04649,Duplicate
MAR04650,Duplicate
MAR04651,Loop
MAR05353,Loop
MAR06601,Dead-End
MAR06602,Loop
MAR06603,Loop
MAR06605,Loop
MAR06606,Dilution
MAR06607,Loop
MAR06609,Dead-End
MAR04016,Loop
MAR04018,Loop
MAR04044,Loop
MAR04291,Multiple
MAR04570,Loop
MAR04006,Loop
MAR04028,Loop
MAR04670,Loop
MAR06614,Loop
MAR06615,Loop
MAR06616,Loop
MAR03793,Loop
MAR03931,Loop
MAR03969,Dilution
MAR04345,Multiple
MAR04470,Duplicate
MAR04472,Duplicate
MAR04512,Loop
MAR04513,Loop
MAR04637,Loop
MAR05415,Multiple
MAR05416,Multiple
MAR05417,Dead-End
MAR06621,Multiple
MAR03967,Loop
MAR04024,Loop
MAR04083,Loop
MAR04344,Multiple
MAR07800,Loop
MAR07801,Loop
MAR07802,Loop
MAR07863,Loop
MAR07864,Loop
MAR07866,Loop
MAR07868,Loop
MAR07869,Loop
MAR07870,Loop
MAR07872,Loop
MAR07873,Loop
MAR07878,Multiple
MAR07881,Multiple
MAR07882,Loop
MAR07884,Loop
MAR07885,Loop
MAR07886,Loop
MAR07887,Loop
MAR07888,Loop
MAR07891,Loop
MAR07892,Loop
MAR07893,Multiple
MAR07894,Dead-End
MAR07895,Dead-End
MAR08448,Loop
MAR08450,Loop
MAR08451,Loop
MAR08454,Loop
MAR08457,Loop
MAR08458,Loop
MAR08459,Loop
MAR08460,Loop
MAR08461,Loop
MAR08462,Loop
MAR08463,Loop
MAR08464,Loop
MAR08465,Loop
MAR08466,Loop
MAR08469,Loop
MAR08470,Loop
MAR08471,Loop
MAR08472,Loop
MAR08477,Loop
MAR08478,Loop
MAR08479,Loop
MAR08481,Loop
MAR08482,Multiple
MAR08484,Dead-End
MAR08486,Loop
MAR08493,Dead-End
MAR08494,Dead-End
MAR08495,Dead-End
MAR03802,Multiple
MAR03804,Multiple
MAR03822,Loop
MAR03829,Loop
MAR03831,Loop
MAR03870,Duplicate
MAR03899,Loop
MAR04109,Loop
MAR04118,Multiple
MAR04287,Duplicate
MAR03806,Loop
MAR03820,Loop
MAR03833,Duplicate
MAR03835,Duplicate
MAR03837,Duplicate
MAR03838,Multiple
MAR03956,Loop
MAR04605,Multiple
MAR04778,Duplicate
MAR04779,Duplicate
MAR04780,Duplicate
MAR04781,Duplicate
MAR04784,Multiple
MAR04785,Multiple
MAR06929,Dead-End
MAR06930,Dead-End
MAR06931,Dead-End
MAR06933,Dead-End
MAR06934,Dead-End
MAR06936,Dead-End
MAR06939,Dead-End
MAR06941,Dead-End
MAR06943,Dead-End
MAR06944,Dead-End
MAR06946,Dead-End
MAR06947,Dead-End
MAR06949,Dead-End
MAR06950,Dead-End
MAR06952,Dead-End
MAR06953,Dead-End
MAR06954,Dead-End
MAR06955,Dead-End
MAR06956,Dead-End
MAR06957,Dead-End
MAR06958,Dead-End
MAR06959,Dead-End
MAR06961,Dead-End
MAR06962,Dead-End
MAR06963,Dead-End
