source,target
MAR05158,MAR05153
MAR05158,MAR05174
MAR05158,MAR05161
MAR05158,MAR05143
MAR05158,MAR05133
MAR05158,MAR05132
MAR05158,MAR05165
MAR05158,MAR05141
MAR05158,MAR05172
MAR05158,MAR05151
MAR05158,MAR05155
MAR05158,MAR05170
MAR05158,MAR05148
MAR05158,MAR05169
MAR05158,MAR05134
MAR05158,MAR05163
MAR05158,MAR05152
MAR05158,MAR05145
MAR05158,MAR05136
MAR05158,MAR05142
MAR05158,MAR05171
MAR05158,MAR05146
MAR05158,MAR05149
MAR05158,MAR05138
MAR05158,MAR05162
MAR05158,MAR05160
MAR05158,MAR05159
MAR05158,MAR05167
MAR05158,MAR05164
MAR05158,MAR05147
MAR05158,MAR05131
MAR05158,MAR05157
MAR05158,MAR05150
MAR05158,MAR05130
MAR05158,MAR05144
MAR05158,MAR07620
MAR05158,MAR05140
MAR05158,MAR05154
MAR05158,MAR05137
MAR05158,MAR05166
MAR05158,MAR09541
MAR05158,MAR05173
MAR05158,MAR05168
MAR05158,MAR05156
MAR12825,MAR12826
MAR12825,MAR12821
MAR12825,MAR12827
MAR10120,MAR10112
MAR10120,MAR10110
MAR10120,MAR10111
MAR03568,MAR10037
MAR03568,MAR03537
MAR03568,MAR09765
MAR12281,MAR12280
MAR06190,MAR06130
MAR06190,MAR06205
MAR06190,MAR02396
MAR06190,MAR02390
MAR06190,MAR06208
MAR06190,MAR01880
MAR06190,MAR06123
MAR06190,MAR06163
MAR06190,MAR06169
MAR06190,MAR06086
MAR06190,MAR06148
MAR06190,MAR06151
MAR06190,MAR06199
MAR06190,MAR06092
MAR06190,MAR06114
MAR06190,MAR06181
MAR06190,MAR06154
MAR06190,MAR06136
MAR06190,MAR06077
MAR06190,MAR06074
MAR06190,MAR06111
MAR06190,MAR06080
MAR06190,MAR06120
MAR06190,MAR06160
MAR06190,MAR06126
MAR06190,MAR06157
MAR06190,MAR06108
MAR06190,MAR06089
MAR06190,MAR01904
MAR06190,MAR06184
MAR06190,MAR01901
MAR06190,MAR06145
MAR06190,MAR06133
MAR06190,MAR06196
MAR06190,MAR06211
MAR06190,MAR06172
MAR06190,MAR01898
MAR06190,MAR01886
MAR06190,MAR01889
MAR06190,MAR06178
MAR06190,MAR01907
MAR06190,MAR06071
MAR06190,MAR05443
MAR06190,MAR06139
MAR06190,MAR06193
MAR06190,MAR06117
MAR06190,MAR06142
MAR06190,MAR06175
MAR06190,MAR01892
MAR06190,MAR06083
MAR06190,MAR04433
MAR06190,MAR01883
MAR06190,MAR06202
MAR06190,MAR06166
MAR06190,MAR06068
MAR06190,MAR06187
MAR12037,MAR12064
MAR12037,MAR12045
MAR00032,MAR08241
MAR00032,MAR07158
MAR00032,MAR06635
MAR00032,MAR01499
MAR00032,MAR00669
MAR00032,MAR11583
MAR00032,MAR00140
MAR00032,MAR00645
MAR00032,MAR00664
MAR00032,MAR09554
MAR00032,MAR00020
MAR00032,MAR00679
MAR00032,MAR00632
MAR00032,MAR06542
MAR00032,MAR06639
MAR00032,MAR08379
MAR00032,MAR00683
MAR00032,MAR00616
MAR00032,MAR12140
MAR00032,MAR12096
MAR00032,MAR08527
MAR00032,MAR00605
MAR00032,MAR06637
MAR00032,MAR03779
MAR00032,MAR09901
MAR00032,MAR00672
MAR00032,MAR00610
MAR00032,MAR00644
MAR00032,MAR00682
MAR00032,MAR11629
MAR00032,MAR00634
MAR00032,MAR00630
MAR00032,MAR10033
MAR00032,MAR06546
MAR00032,MAR01501
MAR00032,MAR00734
MAR00032,MAR00623
MAR00032,MAR00681
MAR00032,MAR00795
MAR00032,MAR00643
MAR00032,MAR01596
MAR00032,MAR06543
MAR00032,MAR08528
MAR00032,MAR00663
MAR00032,MAR00604
MAR00032,MAR01664
MAR00032,MAR08245
MAR00032,MAR00021
MAR00032,MAR01594
MAR00032,MAR00753
MAR00032,MAR07605
MAR00032,MAR00627
MAR00032,MAR00716
MAR00032,MAR06547
MAR00032,MAR00596
MAR00032,MAR00653
MAR00032,MAR01657
MAR00032,MAR00657
MAR00032,MAR01661
MAR00032,MAR00670
MAR00032,MAR07604
MAR00032,MAR07603
MAR00032,MAR00629
MAR00032,MAR00680
MAR00032,MAR00462
MAR00032,MAR01827
MAR00032,MAR00461
MAR00032,MAR08522
MAR00032,MAR00476
MAR00032,MAR07178
MAR00032,MAR00796
MAR00032,MAR01601
MAR00032,MAR00642
MAR00032,MAR00736
MAR00032,MAR00031
MAR00032,MAR00625
MAR00032,MAR09664
MAR00032,MAR07615
MAR00032,MAR07602
MAR00032,MAR09674
MAR00032,MAR06583
MAR00032,MAR00660
MAR00032,MAR01583
MAR00032,MAR00671
MAR00032,MAR00684
MAR00032,MAR01669
MAR00032,MAR00469
MAR00032,MAR00667
MAR00032,MAR11649
MAR00032,MAR06579
MAR00032,MAR00614
MAR00032,MAR00633
MAR00032,MAR06636
MAR00032,MAR00771
MAR00032,MAR00668
MAR00032,MAR09672
MAR00032,MAR11695
MAR00032,MAR00665
