model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
LPL_RA9.mat,775,756,608,144,126,144,5
LPL_CA1.xml,1552,509,14,382,101,76,8
BPE_CA2.xml,1825,663,28,498,160,111,8
LPL_PT1.xml,985,785,705,80,6,80,0
BPE_RA11.mat,1038,999,813,179,119,179,7
LPL_ME2.xml,1065,1024,643,381,12,377,0
PPU_CA1.xml,2291,796,59,482,173,206,9
PPU_PT2.xml,2795,2057,1796,249,193,249,0
BPE_RA4.mat,1322,1196,763,433,104,433,7
LPL_RA11.mat,806,767,612,151,131,151,5
BPE_ME1.xml,1214,1180,824,292,2,353,0
PPU_RA3.xml,1371,1269,776,493,81,493,7
PPU_RA7.xml,1463,1401,1077,315,209,315,6
BPE_RA9.mat,994,962,788,167,112,167,6
BPE_PT2.xml,1922,1602,1439,163,118,163,0
BPE_RA10.mat,857,822,687,132,97,132,6
PPU_PT5.xml,2638,1946,1685,249,193,249,0
BPE_RA3.mat,1177,1088,689,399,98,399,7
LPL_CA2.xml,1595,524,0,399,103,93,8
LPL_RA10.mat,567,564,476,86,79,86,4
BPE_RA12.mat,1011,921,590,331,71,331,7
LPL_PT5.xml,985,785,705,80,6,80,0
BPE_RA7.mat,1023,987,804,176,118,176,7
LPL_AU1.sbml,449,378,359,18,8,18,6
PPU_RA4.xml,1571,1458,824,634,131,634,7
BPE_CA1.xml,1851,587,8,410,166,143,8
LPL_RA12.mat,747,645,398,247,45,247,5
LPL_AU2.sbml,1062,919,698,204,72,204,9
BPE_RA8.mat,1056,1021,827,185,125,185,7
LPL_MS1.sbml,1372,1048,550,287,40,252,6
PPU_RA6.xml,1498,1396,822,574,101,574,7
LPL_ME1.xml,1052,1020,614,202,13,402,0
BPE_RA6.mat,1286,1164,728,436,102,436,7
BPE_MD2.xml,1461,1261,1167,60,110,71,9
PPU_MS2.sbml,1666,1390,920,276,77,352,8
BPE_RA5.mat,1319,1181,756,425,102,425,7
LPL_MD1.xml,424,389,371,18,0,18,0
