model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Abiotrophia_defectiva_ATCC_49176.mat,1048,632,326,265,35,37,6
Acaricomes_phytoseiuli_DSM_14247.mat,1064,625,310,269,89,39,6
Acaryochloris_marina_MBIC11017.mat,1242,806,433,306,48,61,7
Acetanaerobacterium_elongatum_CGMCC_1_5012.mat,932,601,310,265,18,25,5
Acetatifactor_muris_GP69.mat,1014,657,387,228,23,39,5
Acetivibrio_cellulolyticus_CD2.mat,1007,677,354,294,17,30,5
Acetivibrio_ethanolgignens_ACET_33324.mat,996,579,337,212,21,29,5
Acetobacterium_wieringae_DSM_1911.mat,1103,723,419,263,24,52,4
Acetonema_longum_DSM_6540.mat,1346,817,476,277,31,62,5
Achromobacter_insuavis_AXX_A.mat,1631,980,545,322,127,94,7
Achromobacter_xylosoxidans_A8.mat,1854,1058,599,318,134,122,8
Achromobacter_xylosoxidans_ERR2221244.mat,1599,944,555,304,118,61,7
Achromobacter_xylosoxidans_ERR2221245.mat,1599,944,555,304,118,61,7
Achromobacter_xylosoxidans_ERR2221246.mat,1599,944,555,304,118,61,7
Achromobacter_xylosoxidans_ERR2221247.mat,1599,944,555,304,118,61,7
Achromobacter_xylosoxidans_NBRC_15126.mat,1785,981,510,370,122,84,8
Achromobacter_xylosoxidans_NCTC10807.mat,1595,945,552,310,118,63,7
Acidaminobacter_hydrogenoformans_DSM_2784.mat,1066,565,285,213,37,62,5
Acidaminococcus_fermentans_DSM_20731.mat,1231,729,425,245,38,57,8
Acidaminococcus_intestini_RyC_MR95.mat,1188,728,381,275,33,68,5
Acidaminococcus_massiliensis_Marseille_P2828.mat,1018,890,408,439,36,47,5
Acidaminococcus_sp_BV3L6.mat,1082,666,368,249,32,44,5
Acidaminococcus_sp_D21.mat,1050,696,437,201,29,56,5
Acidaminococcus_sp_HPA0509.mat,1133,664,364,246,32,49,5
Acidobacterium_ailaaui_PMMR2.mat,1185,744,396,295,36,46,6
Acidobacterium_capsulatum_ATCC_51196.mat,1147,708,369,291,34,46,5
Acidovorax_caeni_R_24608.mat,1362,810,437,302,52,55,7
Acinetobacter_baumannii_1656_2.mat,1556,864,457,295,72,90,7
Acinetobacter_baumannii_3990.mat,1563,865,460,295,70,88,7
Acinetobacter_baumannii_48055.mat,1556,864,459,295,70,88,7
Acinetobacter_baumannii_53264.mat,1556,864,459,295,70,88,7
Acinetobacter_baumannii_6013113.mat,1491,838,440,303,73,70,7
Acinetobacter_baumannii_6013150.mat,1495,842,444,303,73,70,7
Acinetobacter_baumannii_6014059.mat,1497,858,454,309,73,70,7
Acinetobacter_baumannii_AA_014.mat,1561,857,455,292,72,88,7
Acinetobacter_baumannii_AB0057.mat,1720,939,497,323,78,95,8
Acinetobacter_baumannii_Ab11111.mat,1556,864,459,295,70,88,7
Acinetobacter_baumannii_AB_1536_8.mat,1570,864,453,292,72,97,7
Acinetobacter_baumannii_AB_1582_8.mat,1558,861,459,292,70,88,7
Acinetobacter_baumannii_AB_1594_8.mat,1560,860,453,297,72,88,7
Acinetobacter_baumannii_AB_1595_8.mat,1559,861,459,292,70,88,7
Acinetobacter_baumannii_AB_1649_8.mat,1567,862,459,292,71,88,7
Acinetobacter_baumannii_AB_1650_8.mat,1570,861,458,292,71,88,7
Acinetobacter_baumannii_AB_1766_8.mat,1552,859,458,292,69,88,7
Acinetobacter_baumannii_AB1H8.mat,1555,864,459,295,70,88,7
Acinetobacter_baumannii_AB_2007_09_110_01_7.mat,1536,836,443,278,66,94,7
Acinetobacter_baumannii_AB_2007_16_25_01_7.mat,1566,863,461,292,72,88,7
