reaction_id,category
NDPK6,Multiple
ALATA_L2,Multiple
ME1,Multiple
ALATA_L,Multiple
XYLK,Multiple
PPM,Multiple
ALATA_D2,Multiple
SHCHD2,Multiple
A5PISO,Multiple
CPPPGO,Multiple
DHORD5,Multiple
EX_metsox_S__L_e,Multiple
GLYCTO2,Multiple
VALTA,Multiple
GLYCTO3,Multiple
G3PD5,Multiple
EX_acgam_e,Multiple
FRD2,Multiple
EX_cellb_e,Multiple
EX_no3_e,Multiple
EX_gln__L_e,Multiple
UPP3S,Multiple
UPPDC1,Multiple
EX_man_e,Multiple
EX_rib__D_e,Multiple
EX_dcyt_e,Multiple
MOAT,Multiple
EX_sbt__D_e,Multiple
USHD,Multiple
LPADSS,Multiple
GLUTRS,Multiple
TDSK,Multiple
EX_btn_e,Multiple
RNDR1,Multiple
RNDR3,Multiple
RNDR4,Multiple
RMI,Multiple
NADH9,Multiple
MDH,Multiple
PYDXNK,Multiple
PYAM5PO,Multiple
SSALx,Multiple
EX_dgsn_e,Multiple
EX_fru_e,Multiple
HEX4,Multiple
EX_xyl__D_e,Multiple
EX_duri_e,Multiple
ACCOAC,Multiple
ICHORS_copy2,Multiple
EX_thm_e,Multiple
GLUTRR,Multiple
EX_din_e,Multiple
TARTD,Multiple
GLCRAL,Multiple
EX_gthox_e,Multiple
KAS14,Multiple
HEMEOS,Multiple
PYDXPP,Multiple
PDXPP,Multiple
G1SAT,Multiple
KDOCT2,Multiple
EDTXS1,Multiple
MNNH,Multiple
EDTXS2,Multiple
ALTRH,Multiple
GUI1,Multiple
EDTXS3,Multiple
DDGLK,Multiple
EDTXS4,Multiple
PMANM,Multiple
EX_tmao_e,Multiple
UAG2E,Multiple
MACPD,Multiple
XYLI1,Multiple
ICHORS_copy1,Multiple
EX_sucr_e,Multiple
ALDD4,Multiple
CINNDO,Multiple
DHPPD,Multiple
EX_tre_e,Multiple
DHCIND,Multiple
GOFUCR,Multiple
PYDXK,Multiple
SADT2,Multiple
AACPS1,Multiple
DHORD2,Multiple
LCARS,Multiple
RMPA,Multiple
SBTPD,Multiple
PFK_2,Multiple
GLTPD,Multiple
EX_hdcea_e,Multiple
ACACCT,Multiple
BUTCT,Multiple
TGBPA,Multiple
MANAO,Multiple
TAGURr,Multiple
DMSOR1,Multiple
2DGULRx,Multiple
DKGLCNR2y,Multiple
G1PTT,Multiple
TDPGDH,Multiple
2DGULRy,Multiple
UDPGALM,Multiple
TDPDRE,Multiple
TDPDRR,Multiple
RZ5PP,Multiple
