model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Streptococcus_pneumoniae_PNI0010.mat,1106,601,264,275,19,62,5
Streptococcus_agalactiae_ILRI112.mat,1947,596,272,265,33,55,5
Escherichia_coli_KTE147.mat,3627,1243,738,297,105,195,8
Salmonella_bongori_serovar_66_z41_str_SA19983605.mat,1641,820,449,278,62,66,6
Helicobacter_pylori_Rif2.mat,1255,838,478,306,37,67,7
Escherichia_coli_O104_H4_str_C236_11.mat,3625,1266,738,297,113,221,8
Enterococcus_faecalis_E99.mat,1226,689,348,279,23,54,6
Escherichia_coli_DEC15C.mat,3594,1245,720,312,107,209,8
Staphylococcus_aureus_M0280.mat,1409,733,348,279,51,84,6
Lachnoclostridium_nov_ERR2221159.mat,1163,734,439,240,35,45,6
Staphylococcus_aureus_A9299.mat,1387,724,365,261,49,78,6
Escherichia_coli_3_2608.mat,3607,1240,728,298,101,193,8
Escherichia_coli_201600_1.mat,3586,1223,730,293,97,180,8
Actinomyces_sp_HPA0247.mat,923,575,305,220,26,39,5
Enterococcus_faecalis_B4259.mat,1233,661,328,276,23,49,6
Prevotella_oralis_HGA0225.mat,1389,913,554,296,31,73,7
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_CVM_69_4941.mat,1882,845,437,283,76,103,6
Akkermansia_sp_KLE1797.mat,1057,657,364,254,28,37,5
Bradyrhizobium_japonicum_USDA_110.mat,1635,966,510,347,114,93,7
Escherichia_coli_KTE12.mat,3607,1233,728,292,99,197,8
Streptococcus_mutans_M21.mat,1374,836,482,297,30,69,7
Escherichia_coli_2872800.mat,3621,1235,732,294,97,190,8
Bacteroides_fragilis_YCH46.mat,2363,766,359,295,50,103,6
Escherichia_coli_8_0586.mat,3587,1262,756,299,102,199,8
Ureaplasma_urealyticum_serovar_7_str_ATCC_27819.mat,529,412,161,235,4,18,6
Streptococcus_agalactiae_FSL_S3_654.mat,2198,838,467,286,45,97,8
Clostridioides_difficile_CIP_107932.mat,1638,1007,676,232,61,94,8
Pseudomonas_stutzeri_28a24.mat,1453,852,445,320,61,73,6
Vibrio_furnissii_CIP_102972.mat,2073,1201,741,303,96,144,8
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH23.mat,2599,1333,823,289,112,196,8
Escherichia_coli_5412.mat,3584,1256,750,299,102,199,8
