MicrobeID,Phylum,Kingdom,Host,Oxygen Requirement
Abiotrophia_defectiva_ATCC_49176,Firmicutes,Bacteria,Human,Facultative anaerobe
Acaricomes_phytoseiuli_DSM_14247,Actinobacteria,Bacteria,Human,Aerobe
Acaryochloris_marina_MBIC11017,Cyanobacteria,Bacteria,Human,Aerobe
Acetanaerobacterium_elongatum_CGMCC_1_5012,Firmicutes,Bacteria,Human,Anaerobe
Acetatifactor_muris_GP69,Firmicutes,Bacteria,Mouse,Anaerobe
Acetivibrio_cellulolyticus_CD2,Firmicutes,Bacteria,Human,Anaerobe
Acetivibrio_ethanolgignens_ACET_33324,Firmicutes,Bacteria,Mouse,Anaerobe
Acetobacterium_wieringae_DSM_1911,Firmicutes,Bacteria,Mouse,Anaerobe
Acetonema_longum_DSM_6540,Firmicutes,Bacteria,Human,Anaerobe
Achromobacter_insuavis_AXX_A,Proteobacteria,Bacteria,Human,Aerobe
Achromobacter_xylosoxidans_A8,Proteobacteria,Bacteria,Human,Aerobe
Achromobacter_xylosoxidans_ERR2221244,Proteobacteria,Bacteria,Human,Aerobe
Achromobacter_xylosoxidans_ERR2221245,Proteobacteria,Bacteria,Human,Aerobe
Achromobacter_xylosoxidans_ERR2221246,Proteobacteria,Bacteria,Human,Aerobe
Achromobacter_xylosoxidans_ERR2221247,Proteobacteria,Bacteria,Human,Aerobe
Achromobacter_xylosoxidans_NBRC_15126,Proteobacteria,Bacteria,Human,Aerobe
Achromobacter_xylosoxidans_NCTC10807,Proteobacteria,Bacteria,Human,Aerobe
Acidaminobacter_hydrogenoformans_DSM_2784,Firmicutes,Bacteria,Human,Anaerobe
Acidaminococcus_fermentans_DSM_20731,Firmicutes,Bacteria,Human,Anaerobe
Acidaminococcus_intestini_RyC_MR95,Firmicutes,Bacteria,Human,Anaerobe
Acidaminococcus_massiliensis_Marseille_P2828,Firmicutes,Bacteria,Human,
Acidaminococcus_sp_BV3L6,Firmicutes,Bacteria,Human,Anaerobe
Acidaminococcus_sp_D21,Firmicutes,Bacteria,Human,Anaerobe
Acidaminococcus_sp_HPA0509,Firmicutes,Bacteria,Human,Anaerobe
Acidobacterium_ailaaui_PMMR2,Acidobacteria,Bacteria,Mouse,Obligate aerobe
Acidobacterium_capsulatum_ATCC_51196,Acidobacteria,Bacteria,Mouse,Obligate aerobe
Acidovorax_caeni_R_24608,Proteobacteria,Bacteria,Human,Anaerobe
Acinetobacter_baumannii_1656_2,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_3990,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_48055,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_53264,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_6013113,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_6013150,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_6014059,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AA_014,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_1536_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_1582_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_1594_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_1595_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_1649_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_1650_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_1766_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2007_09_110_01_7,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2007_16_25_01_7,Proteobacteria,Bacteria,Human,Aerobe
