model_version,all_rxns,flagged,duplicates,dead-ends,loops
1.0,15185,3580,637,855,2619
1.1,15185,3561,635,855,2602
1.2,14691,3786,633,1095,2594
1.3,14770,3804,633,1111,2596
1.4,13096,3740,633,1047,2596
1.5,13096,3740,633,1047,2596
1.6,13082,3711,633,1020,2594
1.7,13082,3711,633,1020,2594
1.8,13083,3711,633,1020,2594
1.9,13081,3711,633,1020,2594
1.10,13078,3709,633,1021,2591
1.11,13069,3704,625,1021,2586
1.12,13070,3702,623,1020,2587
1.13,13026,3625,536,1031,2499
1.14,13024,3623,536,1029,2499
1.15,13073,3692,554,1085,2504
1.16,13085,3563,529,1134,2332
1.17,12969,3460,451,1140,2227
1.18,12995,3487,445,1123,2275
