source,target
rxn00735_c0,rxn11663_c0
rxn00735_c0,rxn01361_c0
rxn00735_c0,rxn00500_c0
rxn00735_c0,rxn01331_c0
rxn00735_c0,rxn01124_c0
rxn00735_c0,rxn10770_c0
rxn00735_c0,rxn01241_c0
rxn00735_c0,rxn06493_c0
rxn00735_c0,rxn01268_c0
rxn00735_c0,rxn00929_c0
rxn00735_c0,rxn00949_c0
rxn00735_c0,rxn03249_c0
rxn00735_c0,rxn10124_c0
rxn00735_c0,rxn00068_c0
rxn00735_c0,rxn04750_c0
rxn00735_c0,rxn03617_c0
rxn00735_c0,rxn00804_c0
rxn00735_c0,rxn00863_c0
rxn00735_c0,rxn01867_c0
rxn00735_c0,rxn00105_c0
rxn00735_c0,rxn03062_c0
rxn00735_c0,rxn00278_c0
rxn00735_c0,rxn03422_c0
rxn00735_c0,rxn00737_c0
rxn00735_c0,rxn01451_c0
rxn00735_c0,rxn02933_c0
rxn00735_c0,rxn01480_c0
rxn00735_c0,rxn12868_c0
rxn00735_c0,rxn13838_c0
rxn00735_c0,rxn02939_c0
rxn00735_c0,rxn00510_c0
rxn00735_c0,rxn02774_c0
rxn00735_c0,rxn01419_c0
rxn00735_c0,rxn08131_c0
rxn00735_c0,bio1_biomass
rxn00735_c0,rxn12239_c0
rxn00735_c0,rxn00211_c0
rxn00735_c0,rxn02159_c0
rxn00735_c0,rxn01101_c0
rxn00735_c0,rxn03622_c0
rxn00735_c0,rxn03990_c0
rxn00735_c0,rxn01011_c0
rxn00735_c0,rxn01418_c0
rxn00735_c0,rxn03194_c0
rxn00735_c0,rxn10122_c0
rxn00735_c0,rxn39451_c0
rxn00735_c0,rxn00611_c0
rxn00735_c0,rxn10663_c0
rxn00735_c0,rxn00781_c0
rxn00735_c0,rxn00248_c0
rxn00735_c0,rxn00992_c0
rxn00735_c0,rxn03951_c0
rxn00770_c0,rxn00237_c0
rxn00770_c0,rxn05736_c0
rxn00770_c0,rxn00239_c0
rxn00770_c0,rxn03264_c0
rxn00770_c0,rxn02937_c0
rxn00770_c0,rxn02175_c0
rxn00770_c0,rxn00695_c0
rxn00770_c0,rxn03147_c0
rxn00770_c0,rxn00646_c0
rxn00770_c0,rxn05229_c0
rxn00770_c0,rxn00791_c0
rxn00770_c0,rxn00547_c0
rxn00770_c0,rxn00545_c0
rxn00770_c0,rxn02011_c0
rxn00770_c0,rxn03084_c0
rxn00770_c0,rxn01512_c0
rxn00770_c0,rxn01300_c0
rxn00770_c0,rxn00113_c0
rxn00770_c0,bio1_biomass
rxn00770_c0,rxn04783_c0
rxn00770_c0,rxn02286_c0
rxn00770_c0,rxn01518_c0
rxn00770_c0,rxn08136_c0
