source,target
ACACtex,EX_acac_e
ACACtex,ACACt2pp
ACPPAT160,AACPS2
ACPPAT160,G3PAT140
ACPPAT160,3OAS80
ACPPAT160,FA140ACPHi
ACPPAT160,AGPAT161
ACPPAT160,AGPAT141
ACPPAT160,FA120ACPHi
ACPPAT160,APH160
ACPPAT160,AACPS6
ACPPAT160,AGPAT160
ACPPAT160,3OAS100
ACPPAT160,AGPAT120
ACPPAT160,3OAS181
ACPPAT160,EDTXS3
ACPPAT160,APG3PAT160
ACPPAT160,ACPPAT120
ACPPAT160,FA80ACPHi
ACPPAT160,EDTXS2
ACPPAT160,AACPS9
ACPPAT160,ACPPAT161
ACPPAT160,3OAS140
ACPPAT160,UAGAAT
ACPPAT160,AGPAT181
ACPPAT160,FA100ACPHi
ACPPAT160,3OAS120
ACPPAT160,AACPS4
ACPPAT160,ACPPAT140
ACPPAT160,FA161ACPHi
ACPPAT160,EAR160y
ACPPAT160,ACPPAT180
ACPPAT160,AACPS7
ACPPAT160,AOXSr2
ACPPAT160,G3PAT120
ACPPAT160,KAS14
ACPPAT160,G3PAT141
ACPPAT160,ACPPAT141
ACPPAT160,3OAS161
ACPPAT160,ACPPAT181
ACPPAT160,EAR160x
ACPPAT160,OPMEACPS
ACPPAT160,ACPS1
ACPPAT160,AACPS8
ACPPAT160,U23GAAT
ACPPAT160,3OAS60
ACPPAT160,3OAS121
ACPPAT160,FA141ACPHi
ACPPAT160,FA160ACPHi
ACPPAT160,AACPS5
ACPPAT160,G3PAT181
ACPPAT160,G3PAT160
ACPPAT160,LIPOCT
ACPPAT160,ACOATA
ACPPAT160,AACPS1
ACPPAT160,G3PAT180
ACPPAT160,3OAS160
ACPPAT160,EDTXS4
ACPPAT160,AGPAT180
ACPPAT160,AACPS3
ACPPAT160,3OAS141
ACPPAT160,G3PAT161
ACPPAT160,MCOATA
ACPPAT160,EDTXS1
ACPPAT160,3OAS180
ACPPAT160,AGPAT140
THIORDXi,METSOXR1
THIORDXi,RNDR2
THIORDXi,TRDR
THIORDXi,RNDR4
THIORDXi,PAPSR
THIORDXi,RNDR1
THIORDXi,RNDR3
THIORDXi,METSOXR2
THIORDXi,DSBDR
TMAOR1pp,TMAOtex
TMAOR1pp,TMAtex
TMAOR1pp,TMAOR2pp
BIOMASS_Ec_iML1515_core_75p37M,BSORy
BIOMASS_Ec_iML1515_core_75p37M,ALATA_L2
BIOMASS_Ec_iML1515_core_75p37M,BWCOS
BIOMASS_Ec_iML1515_core_75p37M,PYDXPP
BIOMASS_Ec_iML1515_core_75p37M,PYAM5PO
BIOMASS_Ec_iML1515_core_75p37M,CU2abcpp
BIOMASS_Ec_iML1515_core_75p37M,LIPOS
BIOMASS_Ec_iML1515_core_75p37M,MOCOS
BIOMASS_Ec_iML1515_core_75p37M,NI2tpp
BIOMASS_Ec_iML1515_core_75p37M,WCOS
BIOMASS_Ec_iML1515_core_75p37M,SO4t2pp
BIOMASS_Ec_iML1515_core_75p37M,ALATA_D2
BIOMASS_Ec_iML1515_core_75p37M,MOBDabcpp
BIOMASS_Ec_iML1515_core_75p37M,MPTS
BIOMASS_Ec_iML1515_core_75p37M,NI2uabcpp
BIOMASS_Ec_iML1515_core_75p37M,ZN2tpp
BIOMASS_Ec_iML1515_core_75p37M,H2SO
BIOMASS_Ec_iML1515_core_75p37M,PHEMEabcpp
