reaction_id,reaction_equation,diphosphate_test,loop_test,dilution_test,dead_end_test,pathway,duplicate_test,kegg_group
CYTDK2,Cytidine [c] + GTP C10H12N5O14P3 [c] --> CMP C9H12N3O8P [c] + GDP C10H12N5O11P2 [c] + H+ [c],ok,ok,ok,ok,0,ok,Nucleotides
CYTDK2,Cytidine [c] + GTP C10H12N5O14P3 [c] --> CMP C9H12N3O8P [c] + GDP C10H12N5O11P2 [c] + H+ [c],ok,ok,ok,ok,0,ok,Xenobiotics
XPPT,5-Phospho-alpha-D-ribose 1-diphosphate [c] + Xanthine [c] --> Diphosphate [c] + Xanthosine 5'-phosphate [c],ok,ok,ok,ok,0,ok,Nucleotides
HXPRT,Hypoxanthine [c] + 5-Phospho-alpha-D-ribose 1-diphosphate [c] --> IMP C10H11N4O8P [c] + Diphosphate [c],ok,ok,ok,ok,0,ok,Nucleotides
HXPRT,Hypoxanthine [c] + 5-Phospho-alpha-D-ribose 1-diphosphate [c] --> IMP C10H11N4O8P [c] + Diphosphate [c],ok,ok,ok,ok,0,ok,Xenobiotics
NDPK5,ATP C10H12N5O13P3 [c] + DGDP C10H12N5O10P2 [c] <=> ADP C10H12N5O10P2 [c] + DGTP C10H12N5O13P3 [c],ok,ok,ok,ok,0,ok,Nucleotides
NDPK5,ATP C10H12N5O13P3 [c] + DGDP C10H12N5O10P2 [c] <=> ADP C10H12N5O10P2 [c] + DGTP C10H12N5O13P3 [c],ok,ok,ok,ok,0,ok,Cofactors
NDPK5,ATP C10H12N5O13P3 [c] + DGDP C10H12N5O10P2 [c] <=> ADP C10H12N5O10P2 [c] + DGTP C10H12N5O13P3 [c],ok,ok,ok,ok,0,ok,Xenobiotics
SHK3Dr,3-Dehydroshikimate [c] + H+ [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c] <=> Nicotinamide adenine dinucleotide phosphate [c] + Shikimate [c],ok,ok,ok,ok,0,ok,Amino acids
SHK3Dr,3-Dehydroshikimate [c] + H+ [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c] <=> Nicotinamide adenine dinucleotide phosphate [c] + Shikimate [c],ok,ok,ok,ok,0,ok,Secondary metabolites
NDPK6,ATP C10H12N5O13P3 [c] + DUDP C9H11N2O11P2 [c] <=> ADP C10H12N5O10P2 [c] + DUTP C9H11N2O14P3 [c],ok,ok,bad,ok,2,ok,Nucleotides
NDPK6,ATP C10H12N5O13P3 [c] + DUDP C9H11N2O11P2 [c] <=> ADP C10H12N5O10P2 [c] + DUTP C9H11N2O14P3 [c],ok,ok,bad,ok,2,ok,Cofactors
NDPK6,ATP C10H12N5O13P3 [c] + DUDP C9H11N2O11P2 [c] <=> ADP C10H12N5O10P2 [c] + DUTP C9H11N2O14P3 [c],ok,ok,bad,ok,2,ok,Xenobiotics
NDPK8,ATP C10H12N5O13P3 [c] + DADP C10H12N5O9P2 [c] <=> ADP C10H12N5O10P2 [c] + DATP C10H12N5O12P3 [c],ok,ok,ok,ok,0,ok,Nucleotides
NDPK8,ATP C10H12N5O13P3 [c] + DADP C10H12N5O9P2 [c] <=> ADP C10H12N5O10P2 [c] + DATP C10H12N5O12P3 [c],ok,ok,ok,ok,0,ok,Cofactors
NDPK8,ATP C10H12N5O13P3 [c] + DADP C10H12N5O9P2 [c] <=> ADP C10H12N5O10P2 [c] + DATP C10H12N5O12P3 [c],ok,ok,ok,ok,0,ok,Xenobiotics
DHORTS,(S)-Dihydroorotate [c] + H2O H2O [c] <=> N-Carbamoyl-L-aspartate [c] + H+ [c],ok,ok,ok,ok,0,ok,Nucleotides
OMPDC,H+ [c] + Orotidine 5'-phosphate [c] --> CO2 CO2 [c] + UMP C9H11N2O9P [c],ok,ok,ok,ok,0,ok,Nucleotides
PYNP2r,Phosphate [c] + Uridine [c] <=> Alpha-D-Ribose 1-phosphate [c] + Uracil [c],ok,ok,ok,ok,0,ok,Nucleotides
PYNP2r,Phosphate [c] + Uridine [c] <=> Alpha-D-Ribose 1-phosphate [c] + Uracil [c],ok,ok,ok,ok,0,ok,Xenobiotics
G5SD,L-Glutamate 5-phosphate [c] + H+ [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c] --> L-Glutamate 5-semialdehyde [c] + Nicotinamide adenine dinucleotide phosphate [c] + Phosphate [c],ok,ok,ok,ok,0,ok,Amino acids
G5SD,L-Glutamate 5-phosphate [c] + H+ [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c] --> L-Glutamate 5-semialdehyde [c] + Nicotinamide adenine dinucleotide phosphate [c] + Phosphate [c],ok,ok,ok,ok,0,ok,Secondary metabolites
CS,Acetyl-CoA [c] + H2O H2O [c] + Oxaloacetate [c] --> Citrate [c] + Coenzyme A [c] + H+ [c],ok,ok,ok,ok,0,ok,Carbohydrates
ICDHyr,Isocitrate [c] + Nicotinamide adenine dinucleotide phosphate [c] <=> 2-Oxoglutarate [c] + CO2 CO2 [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c],ok,ok,ok,ok,0,ok,Carbohydrates
ICDHyr,Isocitrate [c] + Nicotinamide adenine dinucleotide phosphate [c] <=> 2-Oxoglutarate [c] + CO2 CO2 [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c],ok,ok,ok,ok,0,ok,Energy
ICDHyr,Isocitrate [c] + Nicotinamide adenine dinucleotide phosphate [c] <=> 2-Oxoglutarate [c] + CO2 CO2 [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c],ok,ok,ok,ok,0,ok,Other amino acids
ALATA_L2,L-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Amino acids
ALATA_L2,L-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Carbohydrates
ALATA_L2,L-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Energy
ALATA_L2,L-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Other amino acids
ALATA_L2,L-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Cofactors
DURIPP,Deoxyuridine [c] + Phosphate [c] <=> 2-Deoxy-D-ribose 1-phosphate [c] + Uracil [c],ok,ok,ok,ok,0,ok,Nucleotides
DURIPP,Deoxyuridine [c] + Phosphate [c] <=> 2-Deoxy-D-ribose 1-phosphate [c] + Uracil [c],ok,ok,ok,ok,0,ok,Xenobiotics
DURIPP,Deoxyuridine [c] + Phosphate [c] <=> 2-Deoxy-D-ribose 1-phosphate [c] + Uracil [c],ok,ok,ok,ok,0,ok,Cofactors
ACALD,Acetaldehyde [c] + Coenzyme A [c] + Nicotinamide adenine dinucleotide [c] <=> Acetyl-CoA [c] + H+ [c] + Nicotinamide adenine dinucleotide - reduced [c],ok,ok,ok,ok,0,ok,Carbohydrates
ACALD,Acetaldehyde [c] + Coenzyme A [c] + Nicotinamide adenine dinucleotide [c] <=> Acetyl-CoA [c] + H+ [c] + Nicotinamide adenine dinucleotide - reduced [c],ok,ok,ok,ok,0,ok,Amino acids
ACALD,Acetaldehyde [c] + Coenzyme A [c] + Nicotinamide adenine dinucleotide [c] <=> Acetyl-CoA [c] + H+ [c] + Nicotinamide adenine dinucleotide - reduced [c],ok,ok,ok,ok,0,ok,Xenobiotics
ACALD,Acetaldehyde [c] + Coenzyme A [c] + Nicotinamide adenine dinucleotide [c] <=> Acetyl-CoA [c] + H+ [c] + Nicotinamide adenine dinucleotide - reduced [c],ok,ok,ok,ok,0,ok,Lipids
PTRCTA,2-Oxoglutarate [c] + Putrescine [c] --> 4-Aminobutanal [c] + L-Glutamate [c],ok,ok,ok,ok,0,ok,Amino acids
ACS,Acetate [c] + ATP C10H12N5O13P3 [c] + Coenzyme A [c] --> Acetyl-CoA [c] + AMP C10H12N5O7P [c] + Diphosphate [c],ok,ok,ok,ok,0,ok,Carbohydrates
ACS,Acetate [c] + ATP C10H12N5O13P3 [c] + Coenzyme A [c] --> Acetyl-CoA [c] + AMP C10H12N5O7P [c] + Diphosphate [c],ok,ok,ok,ok,0,ok,Energy
CYSDS,L-Cysteine [c] + H2O H2O [c] --> Hydrogen sulfide [c] + Ammonium [c] + Pyruvate [c],ok,ok,ok,ok,0,ok,Amino acids
CYSDS,L-Cysteine [c] + H2O H2O [c] --> Hydrogen sulfide [c] + Ammonium [c] + Pyruvate [c],ok,ok,ok,ok,0,ok,Other amino acids
MAN6PI,D-Mannose 6-phosphate [c] <=> D-Fructose 6-phosphate [c],ok,ok,ok,ok,0,ok,Carbohydrates
MAN6PI,D-Mannose 6-phosphate [c] <=> D-Fructose 6-phosphate [c],ok,ok,ok,ok,0,ok,Glycans
