source,target
r_0101,r_2291
r_0101,r_2289
r_0101,r_2270
r_0101,r_0100
r_0101,r_2290
r_0101,r_0102
r_0101,r_2286
r_0101,r_2293
r_0101,r_2288
r_0101,r_2292
r_0101,r_2241
r_0101,r_2285
r_0101,r_2287
r_0101,r_2284
r_0101,r_0253
r_0101,r_0301
r_0101,r_0106
r_0101,r_0107
r_0101,r_2294
r_0101,r_0717
r_0101,r_2283
r_0101,r_2227
r_0101,r_0105
r_0645,r_0642
r_0645,r_0641
r_0645,r_0638
r_0645,r_0636
r_0645,r_0625
r_0645,r_0640
r_0645,r_0637
r_0645,r_0643
r_0645,r_0635
r_0645,r_0644
r_0645,r_0639
r_4068,r_4067
r_4068,r_1455
r_4068,r_1515
r_4068,r_4069
r_4068,r_4022
r_4068,r_3990
r_4068,r_4018
r_4068,r_1511
r_4068,r_3977
r_4068,r_4034
r_4068,r_4130
r_4068,r_4079
r_4068,r_1488
r_4068,r_4029
r_4068,r_3969
r_4068,r_1512
r_4068,r_1484
r_4068,r_4024
r_4068,r_4051
r_4068,r_4148
r_4068,r_4011
r_4068,r_4078
r_4068,r_1483
r_4068,r_1449
r_4068,r_4010
r_4068,r_4072
r_4068,r_4084
r_4068,r_1481
r_4068,r_1517
r_4068,r_4070
r_4068,r_4093
r_4068,r_3999
r_4068,r_4025
r_4068,r_1518
r_4068,r_4019
r_4068,r_1452
r_4068,r_4073
r_4068,r_4035
r_4068,r_1479
r_4068,r_1480
r_4068,r_4124
r_4068,r_1510
r_4068,r_1451
r_4068,r_4076
r_4068,r_1453
r_4068,r_4023
r_4068,r_4142
r_4068,r_1450
r_4068,r_4027
r_4068,r_4085
r_4068,r_1514
r_4068,r_1486
r_4068,r_3965
r_4068,r_4075
r_4068,r_4066
r_4068,r_1513
r_4068,r_1485
r_4068,r_4136
r_4068,r_4077
r_4068,r_4071
r_4068,r_4120
r_4068,r_4116
r_4068,r_4121
r_4068,r_4092
r_4068,r_3985
r_4068,r_4003
r_4068,r_1458
r_4068,r_4119
r_4068,r_4074
r_4068,r_3994
r_4068,r_4106
r_4068,r_4028
r_4068,r_1482
r_4068,r_4026
r_4068,r_1456
r_4068,r_3981
r_4068,r_4065
r_4068,r_1516
r_4068,r_1457
r_4068,r_1487
r_4068,r_4118
r_4068,r_4112
r_4068,r_1509
r_4068,r_4117
r_4068,r_1454
r_4068,r_4100
r_4746,r_4725
r_4328,r_4321
r_4328,r_4170
r_4328,r_4316
r_4328,r_0362
r_4328,r_4320
r_4328,r_4322
r_4328,r_4314
r_4328,r_4159
r_4328,r_4627
r_4328,r_0519
r_4328,r_1748
r_4328,r_4253
r_4328,r_4250
r_4328,r_0521
r_4328,r_4234
r_4328,r_4313
r_2681,r_2801
r_2681,r_2737
r_2681,r_4141
r_2681,r_2625
r_2681,r_2701
r_2681,r_2809
r_2681,r_2697
r_2681,r_2682
r_2681,r_2753
r_2681,r_2689
r_2681,r_2781
r_2681,r_2741
r_2681,r_2693
r_2681,r_2629
r_2681,r_2597
r_2681,r_2685
r_2681,r_2641
r_2681,r_2729
r_2681,r_2705
r_2681,r_2717
r_2681,r_2673
r_2681,r_2633
r_2681,r_2661
r_2681,r_2653
r_2681,r_2745
r_2681,r_2773
r_2681,r_2785
r_2681,r_2677
r_2681,r_2769
r_2681,r_2679
r_2681,r_2789
r_2681,r_2669
r_2681,r_2797
r_2681,r_2665
r_2681,r_2713
r_2681,r_2709
r_2681,r_2749
r_2681,r_2645
r_2681,r_2757
r_2681,r_2725
r_2681,r_2793
r_2681,r_2680
r_2681,r_2733
r_2681,r_2765
r_2681,r_2683
r_2681,r_2621
r_2681,r_2777
r_2681,r_2649
r_2681,r_2637
r_2681,r_2676
r_2681,r_2678
r_2681,r_2761
r_2681,r_2805
r_2681,r_2721
r_2681,r_2657
r_2211,r_3901
r_2211,r_2212
r_2211,r_2209
r_2211,r_3614
r_2211,r_2210
r_1039,r_0551
r_4025,r_4145
r_4025,r_4037
r_4025,r_4067
r_4025,r_1455
r_4025,r_1515
r_4025,r_3963
r_4025,r_3993
r_4025,r_4013
r_4025,r_4069
r_4025,r_4022
r_4025,r_3990
r_4025,r_4125
r_4025,r_3995
r_4025,r_4111
r_4025,r_4081
r_4025,r_4018
r_4025,r_1511
r_4025,r_3998
r_4025,r_4109
r_4025,r_4091
r_4025,r_4139
r_4025,r_4014
r_4025,r_3977
r_4025,r_4034
r_4025,r_4130
r_4025,r_4031
r_4025,r_4079
r_4025,r_1488
r_4025,r_4097
r_4025,r_4137
r_4025,r_4038
r_4025,r_4029
r_4025,r_3969
r_4025,r_4149
r_4025,r_1512
r_4025,r_1484
r_4025,r_4024
r_4025,r_4032
r_4025,r_4101
r_4025,r_4148
r_4025,r_4095
r_4025,r_4114
r_4025,r_4011
r_4025,r_4078
r_4025,r_1483
r_4025,r_4122
r_4025,r_1449
r_4025,r_4107
r_4025,r_4010
r_4025,r_3992
r_4025,r_4087
r_4025,r_4144
r_4025,r_3978
r_4025,r_3966
r_4025,r_4090
r_4025,r_4134
r_4025,r_4104
r_4025,r_4146
r_4025,r_4006
r_4025,r_3976
r_4025,r_3970
r_4025,r_4151
r_4025,r_4000
r_4025,r_4143
r_4025,r_4083
r_4025,r_4140
r_4025,r_4141
r_4025,r_4072
r_4025,r_4084
r_4025,r_1481
r_4025,r_1517
r_4025,r_4099
r_4025,r_3964
r_4025,r_4017
r_4025,r_4070
r_4025,r_4093
r_4025,r_3982
r_4025,r_3967
r_4025,r_3999
r_4025,r_4021
r_4025,r_3968
r_4025,r_1518
r_4025,r_4110
r_4025,r_3989
r_4025,r_4019
r_4025,r_1452
r_4025,r_4128
r_4025,r_4073
r_4025,r_3991
r_4025,r_3972
r_4025,r_4102
r_4025,r_4016
r_4025,r_4035
r_4025,r_4105
r_4025,r_4088
r_4025,r_1479
r_4025,r_4009
r_4025,r_1480
r_4025,r_4124
r_4025,r_1510
r_4025,r_4108
r_4025,r_4086
r_4025,r_1451
r_4025,r_4076
r_4025,r_1453
r_4025,r_4131
r_4025,r_4135
r_4025,r_3979
r_4025,r_4103
r_4025,r_4023
r_4025,r_4002
r_4025,r_4142
r_4025,r_3997
r_4025,r_1450
r_4025,r_4027
r_4025,r_4085
r_4025,r_3971
r_4025,r_3988
r_4025,r_4147
r_4025,r_1514
r_4025,r_4094
r_4025,r_4036
r_4025,r_1486
r_4025,r_3983
r_4025,r_3965
r_4025,r_4075
r_4025,r_4066
r_4025,r_1513
r_4025,r_1485
r_4025,r_4136
r_4025,r_4150
r_4025,r_4077
r_4025,r_4007
r_4025,r_3984
r_4025,r_4113
r_4025,r_4071
r_4025,r_4082
r_4025,r_4120
r_4025,r_4121
r_4025,r_4116
r_4025,r_4092
r_4025,r_4030
r_4025,r_3985
r_4025,r_4004
r_4025,r_4012
r_4025,r_4015
r_4025,r_4003
r_4025,r_1458
r_4025,r_3980
r_4025,r_4119
r_4025,r_4123
r_4025,r_4132
r_4025,r_4080
r_4025,r_4074
r_4025,r_3994
r_4025,r_4106
r_4025,r_4028
r_4025,r_4129
r_4025,r_1482
r_4025,r_4026
r_4025,r_4008
r_4025,r_1456
r_4025,r_3981
r_4025,r_4096
r_4025,r_4089
r_4025,r_4065
r_4025,r_4127
r_4025,r_4098
r_4025,r_1457
r_4025,r_1516
r_4025,r_4126
r_4025,r_1487
r_4025,r_4115
r_4025,r_4020
r_4025,r_3986
r_4025,r_4133
r_4025,r_4118
r_4025,r_4138
r_4025,r_4033
r_4025,r_4001
r_4025,r_4112
r_4025,r_1509
r_4025,r_4117
r_4025,r_1454
r_4025,r_4100
r_2278,r_0057
r_2278,r_2279
r_2278,r_2281
r_2278,r_2280
r_2278,r_2270
r_2278,r_2273
r_2278,r_2266
r_2278,r_2290
r_2278,r_0715
r_2278,r_2267
r_2278,r_2274
r_2278,r_2272
r_2278,r_2276
r_2278,r_2277
r_2278,r_2271
r_2278,r_2269
r_2278,r_2282
r_2278,r_2261
r_2278,r_2268
r_2278,r_2275
r_4052,r_1486
r_4052,r_1480
r_4052,r_1484
r_4052,r_1482
r_4052,r_1485
r_4052,r_1487
r_4052,r_1488
r_4052,r_1481
r_4052,r_1479
r_4052,r_1483
r_1659,r_0218
r_1659,r_0683
r_1659,r_1065
r_2751,r_2791
r_2751,r_2795
r_2751,r_2787
r_2751,r_2727
r_2751,r_2663
r_2751,r_2687
r_2751,r_2783
r_2751,r_2779
r_2751,r_2731
r_2751,r_2667
r_2751,r_2671
r_2751,r_2655
r_2751,r_2753
r_2751,r_2623
r_2751,r_2748
r_2751,r_2631
r_2751,r_2691
r_2751,r_2803
r_2751,r_2739
r_2751,r_2759
r_2751,r_2743
r_2751,r_2643
r_2751,r_2703
r_2751,r_2609
r_2751,r_2775
r_2751,r_2635
r_2751,r_2750
r_2751,r_2715
r_2751,r_2752
r_2751,r_2659
r_2751,r_2591
r_2751,r_2639
r_2751,r_2735
r_2751,r_2754
r_2751,r_2799
r_2751,r_2767
r_2751,r_2707
r_2751,r_2755
r_2751,r_2679
r_2751,r_2811
r_2751,r_2695
r_2751,r_2675
r_2751,r_2651
r_2751,r_2807
r_2751,r_2719
r_2751,r_2627
r_2751,r_2771
r_2751,r_2747
r_2751,r_2711
r_2751,r_2749
r_2751,r_2763
r_2751,r_2647
r_2751,r_2608
r_2751,r_2723
r_2751,r_2683
r_2751,r_4117
r_2751,r_2561
r_2751,r_2699
r_0438,r_0004
r_0438,r_0001
r_0438,r_0439
r_0438,r_0437
r_0438,r_4382
r_0438,r_0002
r_4323,r_1935
r_4323,r_0730
r_4323,r_4324
r_4323,r_4280
r_4323,r_4281
r_2642,r_2770
r_2642,r_2714
r_2642,r_4124
r_2642,r_2658
r_2642,r_2626
r_2642,r_2622
r_2642,r_2586
r_2642,r_2650
r_2642,r_2670
r_2642,r_2638
r_2642,r_2646
r_2642,r_2782
r_2642,r_2682
r_2642,r_2722
r_2642,r_2746
r_2642,r_2742
r_2642,r_2636
r_2642,r_2568
r_2642,r_2643
r_2642,r_2766
r_2642,r_2718
r_2642,r_2674
r_2642,r_2762
r_2642,r_2758
r_2642,r_2641
r_2642,r_2750
r_2642,r_2702
r_2642,r_2710
r_2642,r_2666
r_2642,r_2806
r_2642,r_2774
r_2642,r_2726
r_2642,r_2639
r_2642,r_2630
r_2642,r_2754
r_2642,r_2654
r_2642,r_2640
r_2642,r_2794
r_2642,r_2706
r_2642,r_2786
r_2642,r_2694
r_2642,r_2810
r_2642,r_2778
r_2642,r_2802
r_2642,r_2734
r_2642,r_2634
r_2642,r_2612
r_2642,r_2698
r_2642,r_2738
r_2642,r_2592
r_2642,r_2790
r_2642,r_2690
r_2642,r_2686
r_2642,r_2730
r_2642,r_2678
r_2642,r_2637
r_2642,r_2662
r_2642,r_2798
r_2293,r_2247
r_2293,r_2291
r_2293,r_2281
r_2293,r_2289
r_2293,r_0100
r_2293,r_2290
r_2293,r_0102
r_2293,r_2286
r_2293,r_2288
r_2293,r_2292
r_2293,r_2285
r_2293,r_2287
r_2293,r_2284
r_2293,r_0253
r_2293,r_0301
r_2293,r_0106
r_2293,r_0107
r_2293,r_2294
r_2293,r_0717
r_2293,r_2283
r_2293,r_0105
r_4140,r_4145
r_4140,r_4037
r_4140,r_3963
r_4140,r_3993
r_4140,r_4013
r_4140,r_3995
r_4140,r_3990
r_4140,r_4125
r_4140,r_4022
r_4140,r_4111
r_4140,r_4081
r_4140,r_4018
r_4140,r_3998
r_4140,r_4109
r_4140,r_4091
r_4140,r_4139
r_4140,r_4014
r_4140,r_2674
r_4140,r_4034
r_4140,r_4130
r_4140,r_4031
r_4140,r_4097
r_4140,r_4137
r_4140,r_4029
r_4140,r_3969
r_4140,r_4149
r_4140,r_4024
r_4140,r_4032
r_4140,r_4101
r_4140,r_4095
r_4140,r_4148
r_4140,r_4114
r_4140,r_4011
r_4140,r_4122
r_4140,r_4107
r_4140,r_4010
r_4140,r_3992
r_4140,r_4087
r_4140,r_4144
r_4140,r_3978
r_4140,r_3966
r_4140,r_4090
r_4140,r_4146
r_4140,r_4134
r_4140,r_4104
r_4140,r_4006
r_4140,r_3976
r_4140,r_3970
r_4140,r_4151
r_4140,r_4000
r_4140,r_4143
r_4140,r_4083
r_4140,r_4141
r_4140,r_4084
r_4140,r_4099
r_4140,r_3964
r_4140,r_4017
r_4140,r_4093
r_4140,r_3982
r_4140,r_3967
r_4140,r_3999
r_4140,r_4021
r_4140,r_3968
r_4140,r_4110
r_4140,r_3989
r_4140,r_4061
r_4140,r_4019
r_4140,r_4128
r_4140,r_3991
r_4140,r_3972
r_4140,r_4102
r_4140,r_4016
r_4140,r_4035
r_4140,r_4105
r_4140,r_4088
r_4140,r_2672
r_4140,r_4009
r_4140,r_4124
r_4140,r_4108
r_4140,r_4086
r_4140,r_4131
r_4140,r_4135
r_4140,r_4023
r_4140,r_4103
r_4140,r_3979
r_4140,r_4002
r_4140,r_4142
r_4140,r_3997
r_4140,r_4027
r_4140,r_4085
r_4140,r_3971
r_4140,r_3988
r_4140,r_2673
r_4140,r_4147
r_4140,r_4094
r_4140,r_3983
r_4140,r_4036
r_4140,r_3965
r_4140,r_4150
r_4140,r_4136
r_4140,r_4007
r_4140,r_4113
r_4140,r_3984
r_4140,r_4082
r_4140,r_4120
r_4140,r_4121
r_4140,r_4116
r_4140,r_4004
r_4140,r_4030
r_4140,r_3985
r_4140,r_4092
r_4140,r_4012
r_4140,r_4015
r_4140,r_4003
r_4140,r_3980
r_4140,r_4119
r_4140,r_4123
r_4140,r_4132
r_4140,r_4080
r_4140,r_3994
r_4140,r_4106
r_4140,r_4028
r_4140,r_4129
r_4140,r_4026
r_4140,r_4008
r_4140,r_3981
r_4140,r_4089
r_4140,r_4096
r_4140,r_4065
r_4140,r_4127
r_4140,r_4098
r_4140,r_4126
r_4140,r_2675
r_4140,r_3975
r_4140,r_4115
r_4140,r_4020
r_4140,r_3986
r_4140,r_4133
r_4140,r_4118
r_4140,r_4138
r_4140,r_4033
r_4140,r_4001
r_4140,r_4112
r_4140,r_4117
r_4140,r_4100
r_3967,r_4145
r_3967,r_4037
r_3967,r_3963
r_3967,r_3993
r_3967,r_4013
r_3967,r_4022
r_3967,r_3995
r_3967,r_4125
r_3967,r_4081
r_3967,r_4109
r_3967,r_4091
r_3967,r_4139
r_3967,r_4014
r_3967,r_4034
r_3967,r_4130
r_3967,r_4031
r_3967,r_4097
r_3967,r_4137
r_3967,r_4029
r_3967,r_3969
r_3967,r_4149
r_3967,r_4032
r_3967,r_4101
r_3967,r_4095
r_3967,r_4148
r_3967,r_4114
r_3967,r_4011
r_3967,r_4122
r_3967,r_4107
r_3967,r_4010
r_3967,r_3992
r_3967,r_4087
r_3967,r_4144
r_3967,r_4063
r_3967,r_3978
r_3967,r_3966
r_3967,r_4134
r_3967,r_4104
r_3967,r_4146
r_3967,r_4006
r_3967,r_3970
r_3967,r_4151
r_3967,r_4000
r_3967,r_4143
r_3967,r_4083
r_3967,r_4141
r_3967,r_3964
r_3967,r_4017
r_3967,r_4093
r_3967,r_3982
r_3967,r_4021
r_3967,r_3968
r_3967,r_4110
r_3967,r_4019
r_3967,r_4128
r_3967,r_3991
r_3967,r_3972
r_3967,r_4102
r_3967,r_4035
r_3967,r_4105
r_3967,r_4088
r_3967,r_4009
r_3967,r_4124
r_3967,r_4108
r_3967,r_4086
r_3967,r_4131
r_3967,r_4135
r_3967,r_4023
r_3967,r_3979
r_3967,r_4103
r_3967,r_4002
r_3967,r_4142
r_3967,r_3997
r_3967,r_4027
r_3967,r_4085
r_3967,r_3988
r_3967,r_4147
r_3967,r_4094
r_3967,r_3983
r_3967,r_4036
r_3967,r_3965
r_3967,r_4150
r_3967,r_4136
r_3967,r_4007
r_3967,r_4113
r_3967,r_3984
r_3967,r_4120
r_3967,r_4116
r_3967,r_4121
r_3967,r_4030
r_3967,r_4004
r_3967,r_3985
r_3967,r_4012
r_3967,r_4015
r_3967,r_4003
r_3967,r_4119
r_3967,r_4123
r_3967,r_4132
r_3967,r_4080
r_3967,r_3994
r_3967,r_4106
r_3967,r_4028
r_3967,r_4129
r_3967,r_4008
r_3967,r_4089
r_3967,r_4065
r_3967,r_4127
r_3967,r_4098
r_3967,r_4126
r_3967,r_3975
r_3967,r_4115
r_3967,r_4020
r_3967,r_3986
r_3967,r_4133
r_3967,r_4138
r_3967,r_4033
