reaction_id,gene_id
r_0001,YJR048W
r_0001,YDL174C
r_0001,YEL039C
r_0001,YEL071W
r_0002,YJR048W
r_0002,YEL039C
r_0002,YDL178W
r_0003,YAL060W
r_0004,YJR048W
r_0004,YML054C
r_0004,YEL039C
r_0005,YPR165W
r_0005,YMR306W
r_0005,YLR342W
r_0005,YGR032W
r_0006,YPR159W
r_0006,YGR143W
r_0007,YIL020C
r_0012,YHR037W
r_0013,YMR009W
r_0013,YEL038W
r_0014,YOL066C
r_0015,YBR153W
r_0016,YMR108W
r_0016,YCL009C
r_0017,YNL256W
r_0018,YJL060W
r_0018,YER152C
r_0018,YGL202W
r_0019,YHR063C
r_0020,YDR035W
r_0020,YBR249C
r_0021,YDR204W
r_0021,YLR201C
r_0021,YOR125C
r_0021,YML110C
r_0021,YOL096C
r_0021,YGR255C
r_0022,YDR204W
r_0022,YLR201C
r_0022,YOR125C
r_0022,YML110C
r_0022,YOL096C
r_0022,YGR255C
r_0023,YGL009C
r_0024,YNL104C
r_0024,YOR108W
r_0025,YNL104C
r_0026,YHR137W
r_0026,YHR208W
r_0026,YGL202W
r_0026,YJR148W
r_0027,YDR234W
r_0028,YPR001W
r_0032,YOL064C
r_0033,YOR360C
r_0033,YGL248W
r_0034,YOR360C
r_0035,YOR360C
r_0036,YOR360C
r_0037,YOR360C
r_0038,YDR487C
r_0039,YDR127W
r_0040,YDR127W
r_0041,YBR265W
r_0042,YDR035W
r_0042,YBR249C
r_0043,YPL252C
r_0043,YDR376W
r_0044,YDR539W
r_0044,YDR538W
r_0045,YLR231C
r_0057,YKR009C
r_0058,YJR025C
r_0059,YER175C
r_0060,YGL009C
r_0061,YCL018W
r_0062,YGR087C
r_0062,YLR044C
r_0062,YLR134W
r_0063,YBR176W
r_0064,YGR087C
r_0064,YDL080C
r_0064,YLR044C
r_0064,YLR134W
r_0065,YDR127W
r_0066,YNR033W
r_0067,YMR289W
r_0068,YGR019W
r_0069,YCR053W
r_0072,YDL080C
r_0073,YOR163W
r_0073,YLR410W
r_0074,YDR017C
r_0075,YLR017W
r_0076,YGL224C
r_0076,YER037W
r_0077,YOR155C
r_0078,YGL224C
r_0078,YER037W
r_0079,YGR061C
r_0080,YGL125W
r_0080,YPL023C
r_0081,YDR232W
r_0082,YOR163W
r_0083,YDR017C
r_0084,YER183C
r_0085,YER091C
r_0086,YJR024C
r_0087,YPR118W
r_0088,YLR410W
r_0089,YLR410W
r_0090,YOL136C
r_0090,YIL107C
r_0091,YGR248W
r_0091,YHR163W
r_0092,YOR163W
r_0092,YLR410W
r_0093,YDR017C
r_0095,YGR087C
r_0095,YLR044C
r_0095,YLR134W
r_0096,YLR355C
r_0097,YMR108W
r_0097,YCL009C
r_0099,YKL192C
r_0100,YIL160C
r_0101,YIL160C
r_0102,YIL160C
r_0103,YPL028W
r_0104,YPL028W
r_0105,YIL160C
r_0106,YIL160C
r_0107,YIL160C
r_0108,YMR207C
r_0109,YNR016C
r_0109,YDL141W
r_0111,YBL015W
r_0112,YAL054C
r_0112,YLR153C
r_0113,YAL054C
r_0114,YLR153C
r_0115,YER069W
r_0116,YBR093C
r_0116,YBR092C
r_0116,YHR215W
r_0116,YAR071W
r_0117,YPR002W
r_0118,YOL140W
r_0119,YPL148C
r_0120,YGL205W
r_0121,YGL205W
r_0122,YGL205W
r_0123,YGL205W
r_0124,YGL205W
r_0125,YGL205W
r_0126,YCR048W
r_0127,YNR019W
r_0127,YCR048W
r_0128,YCR048W
r_0129,YCR048W
r_0130,YCR048W
r_0131,YCR048W
r_0132,YNR019W
r_0132,YCR048W
r_0133,YCR048W
r_0134,YCR048W
r_0135,YCR048W
r_0137,YJL091C
r_0138,YNL141W
r_0139,YML022W
r_0139,YDR441C
r_0140,YNL141W
r_0142,YJR105W
r_0143,YML035C
r_0144,YER043C
r_0145,YOL052C
r_0146,YNR058W
r_0147,YJL005W
r_0148,YDR226W
r_0148,YDL166C
r_0149,YER170W
r_0150,YER170W
r_0151,YLR359W
r_0152,YLR359W
r_0153,YNL220W
r_0154,YKL001C
r_0155,YGR247W
r_0156,YFL030W
r_0157,YOR335C
r_0158,YGR177C
r_0158,YOR377W
r_0159,YGR177C
r_0159,YOR377W
r_0160,YGR177C
r_0160,YOR377W
r_0161,YGR177C
r_0161,YOR377W
r_0162,YGR177C
r_0162,YOR377W
r_0163,YMR303C
r_0164,YDR368W
r_0164,YHR104W
r_0165,YMR083W
r_0165,YGL256W
r_0166,YDL168W
r_0166,YOL086C
r_0166,YBR145W
r_0167,YMR083W
r_0167,YGL256W
r_0168,YCR105W
r_0168,YMR318C
r_0168,YDR368W
r_0169,YDL168W
r_0169,YOL086C
r_0169,YBR145W
r_0170,YMR083W
r_0170,YGL256W
r_0171,YCR105W
r_0171,YMR318C
r_0172,YMR170C
r_0172,YMR169C
r_0172,YMR110C
r_0173,YPL061W
r_0174,YOR374W
r_0175,YOR374W
r_0175,YER073W
r_0176,YOR374W
r_0177,YPL061W
r_0178,YOR374W
r_0178,YER073W
r_0179,YDL168W
r_0179,YOL086C
r_0179,YBR145W
r_0180,YMR083W
r_0180,YGL256W
r_0181,YCR105W
r_0181,YMR318C
r_0182,YDL168W
r_0182,YOL086C
r_0182,YBR145W
r_0183,YMR083W
r_0183,YGL256W
r_0184,YCR105W
r_0184,YMR318C
r_0185,YMR170C
r_0185,YMR169C
r_0186,YDL168W
r_0186,YOL086C
r_0186,YBR145W
r_0187,YMR083W
r_0187,YGL256W
r_0188,YDR481C
r_0189,YIR029W
r_0190,YIR027C
r_0191,YBR208C
r_0192,YOR099W
r_0192,YNL029C
r_0192,YJL139C
r_0192,YDR483W
r_0192,YBR205W
r_0192,YBR199W
r_0192,YPL053C
r_0192,YKR061W
r_0193,YPR026W
r_0193,YBR001C
r_0194,YDR001C
r_0195,YBR126C
