ko:K14021	hsa:578
ko:K14018	hsa:9373
ko:K04429	hsa:9344
ko:K04366	hsa:5894
ko:K04365	hsa:673
ko:K04463	hsa:5607
ko:K04464	hsa:5598
ko:K04466	hsa:9020
ko:K04468	hsa:51701
ko:K02580	hsa:4790
ko:K04469	hsa:4791
ko:K00181	hsa:64840
ko:K03209	hsa:7471
ko:K00182	hsa:7472
ko:K00182	hsa:7482
ko:K25539	hsa:200504
ko:K05842	hsa:148022
ko:K05843	hsa:7049
ko:K01542	hsa:495
ko:K01543	hsa:496
ko:K02207	hsa:54926
ko:K02207	hsa:997
ko:K05849	hsa:6546
ko:K05849	hsa:6543
ko:K05849	hsa:6547
ko:K05850	hsa:490
ko:K05850	hsa:492
ko:K05850	hsa:493
ko:K05852	hsa:5350
ko:K06316	hsa:91869
ko:K06068	hsa:5580
ko:K06069	hsa:5584
ko:K06070	hsa:5587
ko:K06070	hsa:23683
ko:K06070	hsa:25865
ko:K05850	hsa:491
ko:K00710	hsa:442117
ko:K04257	hsa:442186
ko:K04257	hsa:442191
ko:K04257	hsa:442194
ko:K04257	hsa:442361
ko:K03462	hsa:10135
ko:K05170	hsa:26280
ko:K07374	hsa:10376
ko:K19559	hsa:4052
ko:K25530	hsa:390243
ko:K04367	hsa:4342
ko:K04430	hsa:6416
ko:K04431	hsa:5609
ko:K04432	hsa:5606
ko:K04433	hsa:5608
ko:K04368	hsa:5604
ko:K04440	hsa:5599
ko:K04440	hsa:5602
ko:K04440	hsa:5601
ko:K04441	hsa:5600
ko:K04441	hsa:6300
ko:K04441	hsa:5603
ko:K04441	hsa:1432
ko:K04442	hsa:8550
ko:K04444	hsa:7867
ko:K04258	hsa:5731
ko:K04259	hsa:5732
ko:K04443	hsa:9261
ko:K04445	hsa:9252
ko:K04373	hsa:6197
ko:K04460	hsa:5536
ko:K04250	hsa:6010
ko:K04458	hsa:5801
ko:K04459	hsa:1846
ko:K04459	hsa:1844
ko:K04459	hsa:1849
ko:K04459	hsa:1850
ko:K04459	hsa:1847
ko:K04260	hsa:5733
ko:K04459	hsa:80824
ko:K04456	hsa:207
ko:K04462	hsa:2122
ko:K04424	hsa:51776
ko:K04434	hsa:9479
ko:K04435	hsa:23542
ko:K04436	hsa:23162
ko:K04437	hsa:2316
ko:K04437	hsa:2318
ko:K04437	hsa:2317
ko:K04438	hsa:1398
ko:K04439	hsa:408
ko:K04261	hsa:5734
ko:K04262	hsa:5737
ko:K04439	hsa:409
ko:K04263	hsa:5739
ko:K04357	hsa:1950
ko:K04264	hsa:6915
ko:K04265	hsa:134
ko:K04266	hsa:135
ko:K04267	hsa:136
ko:K04268	hsa:140
ko:K04358	hsa:2248
ko:K04358	hsa:2249
ko:K02582	hsa:4803
ko:K04358	hsa:8822
ko:K04358	hsa:2251
ko:K04358	hsa:2252
ko:K04358	hsa:2253
ko:K04269	hsa:5029
ko:K04358	hsa:2254
ko:K04270	hsa:5028
ko:K04358	hsa:2255
ko:K04272	hsa:5031
ko:K04358	hsa:8823
ko:K04358	hsa:2250
ko:K04358	hsa:8817
ko:K04358	hsa:26281
ko:K04358	hsa:27006
ko:K04271	hsa:5030
ko:K04361	hsa:1956
ko:K04393	hsa:998
ko:K01807	hsa:22934
ko:K04274	hsa:27334
ko:K04273	hsa:10161
ko:K04275	hsa:2846
ko:K03002	hsa:84172
ko:K04482	hsa:5888
ko:K04276	hsa:2859
ko:K04278	hsa:1269
ko:K04374	hsa:468
ko:K04277	hsa:1268
ko:K04279	hsa:5724
ko:K04280	hsa:2798
ko:K04282	hsa:7201
ko:K04284	hsa:2693
ko:K04285	hsa:4543
ko:K04375	hsa:2002
ko:K04286	hsa:4544
ko:K04376	hsa:2005
ko:K04287	hsa:9248
ko:K04288	hsa:1901
ko:K04377	hsa:4609
ko:K04289	hsa:1902
ko:K04378	hsa:6722
ko:K04290	hsa:1903
ko:K04291	hsa:9170
ko:K04379	hsa:2353
ko:K04292	hsa:9294
ko:K04293	hsa:8698
ko:K04448	hsa:3725
ko:K04294	hsa:23566
ko:K04295	hsa:53637
ko:K04297	hsa:56413
ko:K04449	hsa:3727
ko:K04450	hsa:1386
ko:K04298	hsa:64805
